LGA_CODE_2016,D_0_4_FPEFT_MPEFT,D_0_4_FPEFT_MPEPT,D_0_4_FPEFT_MPEAW,D_0_4_FPEFT_MPEHNS,D_0_4_FPEFT_MPET,D_0_4_FPEFT_MPULFTW,D_0_4_FPEFT_MPULPTW,D_0_4_FPEFT_MPUT,D_0_4_FPEFT_MPTLF,D_0_4_FPEFT_MPNLF,D_0_4_FPEFT_MPLFSNS,D_0_4_FPEFT_T,D_0_4_FPEPT_MPEFT,D_0_4_FPEPT_MPEPT,D_0_4_FPEPT_MPEAW,D_0_4_FPEPT_MPEHNS,D_0_4_FPEPT_MPET,D_0_4_FPEPT_MPULFTW,D_0_4_FPEPT_MPULPTW,D_0_4_FPEPT_MPUT,D_0_4_FPEPT_MPTLF,D_0_4_FPEPT_MPNLF,D_0_4_FPEPT_MPLFSNS,D_0_4_FPEPT_T,D_0_4_FPEAW_MPEFT,D_0_4_FPEAW_MPEPT,D_0_4_FPEAW_MPEAW,D_0_4_FPEAW_MPEHNS,D_0_4_FPEAW_MPET,D_0_4_FPEAW_MPULFTW,D_0_4_FPEAW_MPULPTW,D_0_4_FPEAW_MPUT,D_0_4_FPEAW_MPTLF,D_0_4_FPEAW_MPNLF,D_0_4_FPEAW_MPLFSNS,D_0_4_FPEAW_T,D_0_4_FPHNS_MPEFT,D_0_4_FPHNS_MPEPT,D_0_4_FPHNS_MPEAW,D_0_4_FPHNS_MPEHNS,D_0_4_FPHNS_MPET,D_0_4_FPHNS_MPULFTW,D_0_4_FPHNS_MPULPTW,D_0_4_FPHNS_MPUT,D_0_4_FPHNS_MPTLF,D_0_4_FPHNS_MPNLF,D_0_4_FPHNS_MPLFSNS,D_0_4_FPHNS_T,D_0_4_FPET_MPEFT,D_0_4_FPET_MPEPT,D_0_4_FPET_MPEAW,D_0_4_FPET_MPEHNS,D_0_4_FPET_MPET,D_0_4_FPET_MPULFTW,D_0_4_FPET_MPULPTW,D_0_4_FPET_MPUT,D_0_4_FPET_MPTLF,D_0_4_FPET_MPNLF,D_0_4_FPET_MPLFSNS,D_0_4_FPET_T,D_0_4_FPULFTW_MPEFT,D_0_4_FPULFTW_MPEPT,D_0_4_FPULFTW_MP_EAW,D_0_4_FPULFTW_MP_E_HW_NS,D_0_4_FPULFTW_MPET,D_0_4_FPULFTW_MPULFTW,D_0_4_FPULFTW_MPULPTW,D_0_4_FPULFTW_MPUT,D_0_4_FPULFTW_MPTLF,D_0_4_FPULFTW_MPNLF,D_0_4_FPULFTW_MPLFSNS,D_0_4_FPULFTW_T,D_0_4_FPULPTW_MPEFT,D_0_4_FPULPTW_MPEPT,D_0_4_FPULPTW_MPEAW,D_0_4_FPULPTW_MPEm_HW_NS,D_0_4_FPULPTW_MPET,D_0_4_FPULPTW_MPULFTW,D_0_4_FPULPTW_MPULPTW,D_0_4_FPULPTW_MPUT,D_0_4_FPULPTW_MPTLF,D_0_4_FPULPTW_MPNLF,D_0_4_FPULPTW_MPLFSNS,D_0_4_FPULPTW_T,D_0_4_FPUT_MPEFT,D_0_4_FPUT_MPEPT,D_0_4_FPUT_MPEAW,D_0_4_FPUT_MP_E_HNS,D_0_4_FPUT_MPET,D_0_4_FPUT_MPULFTW,D_0_4_FPUT_MPULPTW,D_0_4_FPUT_MPUT,D_0_4_FPUT_MPTLF,D_0_4_FPUT_MPNLF,D_0_4_FPUT_MPLFSNS,D_0_4_FPUT_T,D_0_4_FPTLF_MPEFT,D_0_4_FPTLF_MPEPT,D_0_4_FPTLF_MPEAW,D_0_4_FPTLF_MPEHNS,D_0_4_FPTLF_MPET,D_0_4_FPTLF_MPULFTW,D_0_4_FPTLF_MPULPTW,D_0_4_FPTLF_MPUT,D_0_4_FPTLF_MPTLF,D_0_4_FPTLF_MPNLF,D_0_4_FPTLF_MPLFSNS,D_0_4_FPTLF_T,D_0_4_FPNLF_MPEFT,D_0_4_FPNLF_MPEPT,D_0_4_FPNLF_MPEAW,D_0_4_FPNLF_MP_E_HNS,D_0_4_FPNLF_MPET,D_0_4_FPNLF_MPUEmpLfFTW,D_0_4_FPNLF_MPUEmpLfPTW,D_0_4_FPNLF_MPUT,D_0_4_FPNLF_MPTLF,D_0_4_FPNLF_MPNLF,D_0_4_FPNLF_MPLFSNS,D_0_4_FPNLF_T,D_0_4_FPLFSNS_MPEFT,D_0_4_FPLFSNS_MPEPT,D_0_4_FPLFSNS_MPEAW,D_0_4_FPLFSNS_MP_E_HNS,D_0_4_FPLFSNS_MPET,D_0_4_FPLFSNS_MPULFTW,D_0_4_FPLFSNS_MPULPTW,D_0_4_FPLFSNS_MPUT,D_0_4_FPLFSNS_MPTLF,D_0_4_FPLFSNS_MPNLF,D_0_4_FPLFSNS_MPLFSNS,D_0_4_FPLFSNS_T,D_0_4_FPT_MPEFT,D_0_4_FPT_MPEPT,D_0_4_FPT_MPEAW,D_0_4_FPT_MPEHNS,D_0_4_FPT_MPET,D_0_4_FPT_MPULFTW,D_0_4_FPT_MPULPTW,D_0_4_FPT_MPUT,D_0_4_FPT_MPTLF,D_0_4_FPT_MPNLF,D_0_4_FPT_MPLFSNS,D_0_4_FPT_T,D_5_9_FPEFT_MPEFT,D_5_9_FPEFT_MPEPT,D_5_9_FPEFT_MPEAW,D_5_9_FPEFT_MPEHNS,D_5_9_FPEFT_MPET,D_5_9_FPEFT_MPULFTW,D_5_9_FPEFT_MPULPTW,D_5_9_FPEFT_MPUT,D_5_9_FPEFT_MPTLF,D_5_9_FPEFT_MPNLF,D_5_9_FPEFT_MPLFSNS,D_5_9_FPEFT_T,D_5_9_FPEPT_MPEFT,D_5_9_FPEPT_MPEPT,D_5_9_FPEPT_MPEAW,D_5_9_FPEPT_MPEHNS,D_5_9_FPEPT_MPET,D_5_9_FPEPT_MPULFTW,D_5_9_FPEPT_MPULPTW,D_5_9_FPEPT_MPUT,D_5_9_FPEPT_MPTLF,D_5_9_FPEPT_MPNLF,D_5_9_FPEPT_MPLFSNS,D_5_9_FPEPT_T,D_5_9_FPEAW_MPEFT,D_5_9_FPEAW_MPEPT,D_5_9_FPEAW_MPEAW,D_5_9_FPEAW_MPEHNS,D_5_9_FPEAW_MPET,D_5_9_FPEAW_MPULFTW,D_5_9_FPEAW_MPULPTW,D_5_9_FPEAW_MPUT,D_5_9_FPEAW_MPTLF,D_5_9_FPEAW_MPNLF,D_5_9_FPEAW_MPLFSNS,D_5_9_FPEAW_T,D_5_9_FPHNS_MPEFT,D_5_9_FPHNS_MPEPT,D_5_9_FPHNS_MPEAW,D_5_9_FPHNS_MPEHNS,D_5_9_FPHNS_MPET,D_5_9_FPHNS_MPULFTW,D_5_9_FPHNS_MPULPTW,D_5_9_FPHNS_MPUT,D_5_9_FPHNS_MPTLF,D_5_9_FPHNS_MPNLF,D_5_9_FPHNS_MPLFSNS,D_5_9_FPHNS_T,D_5_9_FPET_MPEFT,D_5_9_FPET_MPEPT,D_5_9_FPET_MPEAW,D_5_9_FPET_MP_E_HNS,D_5_9_FPET_MPET,D_5_9_FPET_MPULFTW,D_5_9_FPET_MPULPTW,D_5_9_FPET_MPUT
LGA10850,35,4,0,0,40,0,0,0,40,0,0,45,113,6,0,0,128,3,0,3,132,0,0,134,23,5,3,0,25,0,0,0,25,0,0,25,5,0,0,0,5,0,0,0,5,0,0,5,176,24,6,0,199,3,0,3,203,5,0,207,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,4,3,0,8,3,0,0,0,9,0,0,0,9,3,0,10,181,21,6,0,210,3,0,3,212,6,0,218,93,9,4,3,108,3,3,4,116,12,0,122,0,0,0,0,0,0,0,0,0,0,0,0,268,35,10,7,313,5,3,8,326,17,0,343,90,5,0,0,100,0,0,0,100,5,0,106,155,11,4,4,173,0,0,0,171,7,0,184,13,0,3,0,11,0,0,0,11,0,0,11,3,0,0,0,3,0,0,0,3,0,0,3,260,22,8,4,289,0,0,0
LGA10900,391,72,12,0,470,8,3,8,481,26,0,509,1091,166,15,0,1276,8,0,13,1285,27,4,1317,293,29,30,5,359,7,0,7,360,8,0,373,4,3,0,7,17,0,0,0,18,0,0,21,1781,265,57,14,2119,24,4,32,2146,59,6,2210,6,0,3,0,9,0,0,0,9,3,0,7,47,5,0,5,57,0,0,0,59,4,0,62,54,3,3,5,65,0,0,0,69,5,0,70,1837,271,56,18,2181,24,6,31,2212,63,6,2282,855,97,23,18,994,16,0,17,1008,38,0,1050,3,0,0,0,0,0,0,0,0,3,0,10,2694,371,75,36,3182,37,6,48,3228,105,6,3336,768,130,16,0,909,6,3,16,928,56,0,984,1366,168,12,8,1554,17,11,28,1586,51,3,1643,75,3,11,4,89,0,0,0,89,0,0,86,7,3,0,9,20,0,0,0,20,0,0,20,2214,299,35,17,2570,32,15,41
LGA10950,17,0,0,0,19,0,0,0,19,0,0,22,33,0,0,0,33,0,0,0,38,3,0,35,11,0,0,0,13,0,0,0,13,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,67,0,0,0,66,3,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,67,0,0,0,66,3,0,70,35,0,3,5,41,4,0,4,46,9,0,51,0,0,0,0,0,0,0,0,0,0,3,3,97,0,3,5,111,5,0,5,116,7,4,127,24,0,0,0,28,0,0,0,28,3,0,30,39,5,0,0,47,3,0,3,45,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,5,0,5,75,3,0,3
LGA11100,465,35,11,3,517,8,4,13,528,8,0,540,615,96,9,0,717,12,0,10,730,13,0,742,197,14,11,3,225,3,0,3,225,0,0,225,13,0,0,13,19,0,0,0,24,0,0,24,1283,145,35,15,1482,17,6,24,1508,20,0,1535,17,0,0,0,19,5,0,4,25,0,0,29,33,5,0,0,42,0,0,0,42,3,0,49,53,11,0,0,61,5,3,8,66,7,0,78,1340,158,35,16,1546,23,9,28,1577,31,0,1605,534,102,13,10,661,8,8,17,676,69,3,749,0,0,0,4,10,0,0,0,10,0,9,19,1878,256,45,39,2214,30,17,50,2265,100,10,2378,556,69,3,0,624,10,3,11,641,23,0,659,625,85,7,9,734,11,0,15,747,10,0,757,32,4,10,4,42,0,0,0,42,0,0,42,3,0,0,6,11,0,0,0,11,0,0,11,1216,153,20,26,1416,25,3,30
LGA11150,34,9,0,0,44,0,0,0,44,3,0,47,23,0,0,0,27,0,0,0,27,3,0,29,5,0,0,0,5,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,69,6,0,0,77,0,0,0,77,7,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,6,0,0,77,0,0,0,77,7,0,83,25,0,0,0,29,0,0,3,31,10,0,40,0,0,0,0,0,0,0,0,0,0,0,0,94,12,0,0,105,3,0,3,108,11,0,121,37,8,0,0,47,0,0,0,50,0,0,50,30,5,0,0,32,0,0,0,32,4,0,37,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,9,0,0,85,0,0,0
LGA11200,9,0,0,0,9,0,0,0,9,0,0,8,10,0,0,0,10,0,0,0,10,0,0,10,6,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,28,0,0,0,28,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,28,0,0,0,28,3,0,27,14,3,0,0,13,4,0,4,15,5,0,24,0,0,0,0,0,0,0,0,0,0,0,0,35,6,0,0,41,4,0,4,40,12,0,54,25,3,0,0,31,0,0,0,31,3,0,32,4,0,0,0,4,0,0,0,6,8,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,3,0,0,38,0,0,3
LGA11250,63,15,0,0,79,0,0,0,79,5,0,87,154,9,0,0,169,3,0,3,170,10,0,175,33,8,8,0,47,0,0,0,44,3,0,48,3,0,0,0,4,0,0,0,7,0,0,7,259,22,12,4,293,3,0,7,303,20,0,322,5,0,0,0,5,0,3,4,8,0,0,8,7,3,0,0,7,0,0,0,7,0,0,7,13,3,0,0,11,0,3,4,13,0,0,13,269,25,12,4,308,7,4,11,319,20,0,337,101,23,5,5,132,12,7,19,148,30,0,181,3,0,0,0,3,0,0,0,3,0,4,4,371,49,12,10,442,19,10,26,470,48,3,525,129,17,0,3,144,3,0,3,154,13,0,165,170,7,4,8,184,5,0,8,189,12,0,202,12,0,0,0,18,0,0,0,15,3,0,21,0,0,0,8,5,0,3,3,8,0,0,8,315,20,3,14,351,8,3,18
LGA11300,246,32,0,4,283,8,7,9,291,6,0,302,279,56,3,3,336,0,0,0,336,9,0,349,108,7,3,0,124,6,0,6,127,3,0,130,7,0,0,4,11,0,0,0,11,0,3,9,635,95,11,9,748,12,7,13,761,25,3,787,24,0,0,0,26,0,0,0,23,0,0,23,20,3,0,0,24,0,0,4,28,0,0,24,44,3,0,0,43,0,4,5,48,0,0,48,682,98,14,9,792,9,8,18,813,20,3,841,338,88,6,7,439,13,3,18,450,67,0,515,0,0,0,3,8,0,0,0,8,0,0,9,1016,183,15,19,1238,22,7,35,1272,88,7,1358,330,35,5,0,366,14,4,23,388,18,0,407,367,58,3,3,435,3,5,9,440,11,0,453,10,4,0,0,22,0,0,0,22,0,0,22,5,3,0,7,15,0,0,0,15,0,3,14,716,99,14,12,836,19,8,29
LGA11350,104,32,0,0,141,0,0,3,145,6,0,150,281,133,3,4,424,7,0,6,426,21,0,444,36,6,9,0,50,4,0,4,60,3,0,59,7,0,0,9,13,0,0,0,12,0,0,15,432,172,11,11,629,9,3,13,644,26,0,670,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,14,0,0,0,11,0,0,11,8,0,0,0,17,0,0,0,13,0,0,13,437,171,11,15,639,16,3,19,655,26,0,686,212,102,10,10,335,12,3,16,352,43,0,395,0,3,0,0,6,0,0,0,6,0,6,10,649,277,27,21,976,25,4,31,1007,75,6,1089,178,60,0,0,234,8,3,5,242,15,0,261,369,153,9,8,546,6,3,9,551,25,0,579,15,8,3,0,27,0,0,0,30,3,0,28,11,0,0,9,20,3,0,3,24,4,3,32,572,219,14,24,828,16,4,17
LGA11400,80,17,0,0,92,0,0,0,92,3,0,101,266,16,3,3,282,0,0,0,282,6,0,289,39,3,6,0,47,0,0,0,47,3,0,54,11,0,0,4,16,0,0,0,16,0,0,16,394,32,11,4,442,0,0,0,442,14,0,458,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,0,0,0,3,0,0,3,4,3,0,0,8,0,0,0,8,0,0,8,397,38,11,4,446,0,0,0,446,14,0,462,142,19,6,8,165,0,0,5,168,7,0,179,0,0,0,0,0,0,0,0,0,0,0,0,539,50,11,13,614,0,0,5,618,23,0,645,169,29,7,0,202,3,0,3,205,9,0,216,315,30,0,5,349,0,0,0,346,6,0,350,15,4,3,0,20,0,0,0,20,0,0,22,6,3,0,4,11,0,0,0,11,0,0,11,503,59,14,14,587,4,0,4
LGA11450,1021,57,6,0,1086,9,3,14,1100,23,0,1130,1714,118,16,10,1859,14,4,13,1871,23,0,1901,577,24,59,9,662,4,0,3,667,3,0,671,16,4,0,13,31,0,0,0,31,0,0,31,3323,202,84,32,3640,24,7,30,3675,52,0,3735,27,3,0,0,31,0,0,0,28,0,0,28,66,5,0,0,71,0,3,7,77,3,0,82,93,13,0,0,104,3,3,10,107,3,0,111,3413,214,84,37,3748,25,10,40,3784,57,0,3844,1260,89,31,25,1411,28,7,32,1439,89,4,1531,4,0,0,3,7,0,0,0,7,0,12,21,4677,305,107,65,5157,54,22,68,5234,142,22,5396,1323,130,5,5,1467,19,0,21,1479,27,0,1505,1800,144,22,14,1978,9,4,12,1988,26,0,2011,108,3,25,0,136,0,0,0,136,0,0,136,20,0,0,29,43,0,0,0,43,0,0,47,3248,274,47,43,3617,21,6,26
LGA11500,1265,128,15,4,1419,35,9,45,1464,106,3,1574,1688,231,18,19,1957,17,3,20,1983,70,3,2058,408,41,52,4,508,5,0,10,515,18,0,530,41,11,0,24,78,6,0,6,81,3,3,89,3403,407,94,55,3963,63,19,84,4046,194,11,4254,86,13,0,4,101,11,0,14,115,12,0,124,179,22,0,10,204,16,4,17,226,13,0,234,265,30,0,8,309,28,3,31,338,21,0,361,3672,441,97,68,4277,88,19,110,4384,216,11,4614,2479,455,64,99,3097,128,39,164,3260,455,10,3719,18,3,0,10,24,0,0,0,29,11,29,67,6165,899,160,172,7399,221,56,281,7672,676,45,8402,1588,213,20,21,1843,43,17,58,1896,138,0,2037,1723,235,15,23,1996,38,7,45,2038,93,3,2140,92,16,25,5,135,0,0,0,136,4,0,137,30,5,0,21,61,3,0,3,63,9,0,80,3436,474,63,64,4032,82,25,102
LGA11520,977,68,7,3,1056,14,0,17,1079,50,0,1127,1237,100,11,11,1357,24,0,26,1384,20,0,1403,404,39,16,3,456,3,0,3,461,7,0,471,18,4,3,11,34,0,0,0,35,0,3,37,2636,209,35,29,2909,43,0,51,2952,74,3,3031,24,0,0,0,24,3,0,3,30,3,0,33,69,0,0,3,73,4,0,3,80,3,0,80,94,0,0,3,97,7,0,7,107,8,0,110,2728,206,36,30,3004,53,3,58,3060,86,3,3147,1148,124,20,21,1317,25,9,28,1349,155,6,1509,0,3,0,4,5,0,0,0,5,3,3,13,3883,334,58,53,4328,77,14,89,4414,246,10,4668,1049,109,7,3,1166,21,11,30,1192,43,0,1236,1328,98,11,20,1458,21,0,23,1480,21,0,1499,61,5,8,0,70,0,0,0,69,0,0,69,13,0,0,5,18,0,0,0,22,0,0,23,2449,210,20,23,2709,42,7,52
LGA11570,2288,333,17,20,2661,47,23,76,2737,199,8,2943,3221,552,34,29,3840,63,12,72,3911,123,8,4042,789,104,88,14,996,14,0,17,1010,24,3,1039,56,15,4,60,133,0,3,7,138,16,11,163,6359,1006,146,127,7634,126,45,170,7798,363,29,8187,115,30,0,3,146,23,5,35,177,10,3,193,233,80,0,10,322,27,8,37,352,27,0,384,346,107,0,9,469,54,14,65,536,41,3,572,6710,1111,145,137,8097,179,61,235,8330,402,28,8764,5942,2119,181,332,8572,527,119,647,9216,1771,65,11050,52,20,0,37,110,4,0,4,114,24,125,259,12709,3246,326,504,16783,704,176,885,17661,2189,222,20076,2819,380,27,39,3260,80,27,106,3365,255,5,3632,3751,648,41,43,4478,81,27,104,4581,224,3,4817,194,32,34,4,265,0,0,0,269,7,4,278,67,14,0,85,160,4,3,3,164,20,9,191,6828,1078,96,165,8160,164,60,220
LGA11600,9,0,0,0,13,0,0,0,13,0,0,13,50,4,0,0,57,0,0,0,57,3,0,57,14,3,5,0,23,0,0,0,23,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,80,6,8,0,93,0,0,0,93,3,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,3,0,0,3,0,3,0,0,3,0,0,0,3,0,0,3,78,10,8,0,95,0,0,0,95,3,0,100,32,6,0,0,38,0,0,0,38,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,114,12,8,0,136,0,0,0,136,4,0,140,26,0,0,0,32,0,0,0,32,0,0,27,47,0,6,3,55,0,0,0,55,5,0,59,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,4,3,0,0,0,3,0,0,3,78,0,6,7,88,0,0,0
LGA11650,1520,256,27,10,1818,33,16,40,1862,146,3,2009,4721,467,60,36,5283,47,12,58,5342,114,0,5459,1083,106,99,15,1302,10,3,15,1318,37,0,1350,74,8,4,50,131,6,0,6,136,8,0,145,7393,836,189,111,8530,91,31,126,8657,303,5,8962,48,11,0,4,61,6,3,14,76,10,0,87,263,39,6,3,306,14,3,14,321,8,0,328,311,48,6,9,372,19,3,24,399,19,0,413,7705,885,197,119,8906,116,39,149,9053,321,5,9380,3442,464,105,81,4096,120,20,144,4240,366,10,4606,9,3,0,15,33,0,0,0,33,0,36,67,11160,1354,297,215,13030,230,60,295,13319,683,46,14054,2581,384,37,17,3020,49,19,70,3093,207,0,3306,5532,527,79,45,6187,71,19,93,6281,194,7,6480,243,42,63,6,352,7,0,5,360,18,3,379,60,8,0,64,138,0,0,0,141,0,3,144,8422,957,168,142,9692,135,39,172
LGA11700,8,0,0,0,9,0,0,0,9,0,0,13,3,3,0,0,11,0,0,0,11,0,0,11,3,0,0,3,8,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,20,7,0,4,27,0,0,0,27,0,0,32,0,0,0,0,0,3,0,3,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,4,20,7,0,4,27,3,0,3,33,4,0,37,17,0,0,0,22,6,0,8,26,9,0,41,0,0,0,0,0,0,0,0,0,0,3,3,42,10,0,4,48,12,0,11,59,10,3,73,11,3,0,0,17,0,3,3,21,3,0,21,5,4,0,0,8,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,3,0,0,26,0,3,3
LGA11720,252,30,7,0,295,5,0,6,305,17,0,319,726,72,11,3,812,11,0,13,823,25,0,843,158,18,22,0,193,0,3,3,194,3,0,202,6,0,0,7,13,0,0,0,13,0,0,13,1146,117,40,14,1312,13,4,22,1330,42,0,1374,5,3,0,0,12,0,0,0,9,0,0,16,29,5,0,0,33,0,3,4,38,4,0,47,33,11,0,0,47,4,3,8,51,6,0,59,1177,127,40,14,1357,23,10,25,1384,48,0,1437,673,104,19,14,811,41,9,52,863,81,4,952,12,0,0,0,12,0,0,0,12,0,13,22,1855,230,60,31,2180,62,15,82,2258,138,17,2408,395,34,12,4,443,12,0,12,457,33,0,488,846,106,17,11,983,17,0,23,997,49,0,1051,26,9,10,0,46,0,0,0,50,0,0,49,3,0,0,15,15,0,0,0,15,0,3,17,1274,147,37,29,1490,29,0,33
LGA11730,147,25,0,3,175,0,0,4,181,11,0,196,407,72,3,3,494,9,3,9,501,22,0,519,84,26,8,0,118,0,0,0,117,5,0,121,11,0,0,0,15,0,0,0,15,4,0,16,652,121,15,8,800,6,7,14,812,42,0,859,9,0,0,0,8,11,0,11,23,3,3,31,24,0,3,0,27,3,0,5,30,3,0,38,31,0,3,0,39,20,0,19,56,8,3,67,685,123,21,8,842,26,3,32,871,47,3,926,403,87,21,13,531,31,0,34,563,87,0,644,3,3,0,0,8,0,0,0,8,0,0,8,1096,215,46,24,1379,50,7,63,1438,131,3,1576,320,52,0,3,378,13,0,14,390,26,0,414,526,114,8,13,660,9,3,14,671,44,0,717,17,9,3,0,30,0,0,0,30,10,0,42,9,4,0,7,21,0,0,0,22,4,3,23,874,176,12,22,1085,21,4,26
LGA11750,34,0,0,0,38,0,0,0,38,0,0,41,66,0,0,0,71,3,0,3,71,0,0,71,12,10,4,0,23,0,0,0,23,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,115,14,3,3,131,3,0,3,132,0,0,134,4,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,4,0,0,4,116,14,3,3,131,3,0,3,136,0,0,140,85,6,12,7,108,0,0,0,105,3,0,109,4,0,0,0,4,0,0,0,4,0,0,4,201,21,16,9,240,3,0,3,245,6,0,252,67,0,0,0,67,0,0,0,67,6,0,71,71,3,3,0,75,0,0,0,76,0,0,80,3,4,0,3,8,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,139,7,7,3,150,0,0,0
LGA11800,326,58,3,8,392,0,9,11,401,39,3,445,841,154,5,12,1011,11,4,11,1025,19,0,1041,194,29,25,0,246,5,0,12,255,3,0,263,6,0,0,9,19,3,0,3,24,0,0,25,1370,241,31,25,1671,24,11,29,1701,64,3,1767,6,6,0,0,20,8,3,9,22,0,0,27,38,8,0,0,42,11,5,16,55,7,0,62,44,16,0,0,60,15,10,24,81,8,0,87,1415,258,37,25,1727,36,18,51,1779,68,3,1855,680,130,12,19,838,36,12,53,893,108,8,1008,4,0,0,4,11,0,0,0,11,0,11,22,2095,384,50,51,2583,69,33,101,2685,176,23,2883,575,105,7,7,692,14,11,22,715,56,3,770,1056,200,11,16,1284,16,8,24,1311,52,0,1361,47,9,11,0,67,0,0,0,67,3,0,68,18,0,0,9,27,3,0,3,27,0,0,30,1691,307,29,31,2068,37,18,52
LGA12000,18,3,0,0,22,0,0,0,22,0,0,24,61,11,0,0,72,3,0,3,74,0,0,74,17,6,0,0,22,0,0,0,22,0,0,22,4,0,0,0,4,0,0,0,4,0,0,4,98,20,0,0,119,3,0,3,119,0,0,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,20,0,0,119,3,0,3,119,0,0,117,38,3,0,0,44,3,0,3,50,9,0,55,0,0,0,0,0,0,0,0,0,0,4,4,135,24,0,0,158,5,0,5,164,13,4,180,45,8,0,0,56,0,0,0,56,3,0,58,55,7,0,0,61,0,0,0,70,0,0,70,4,0,0,0,6,0,0,0,6,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,108,18,0,0,126,0,0,0
LGA12150,14,3,0,0,16,0,0,0,16,0,0,16,24,5,0,3,34,0,0,0,34,0,0,33,16,0,0,0,17,0,0,0,17,0,0,14,3,0,0,0,6,0,0,0,6,0,0,6,59,9,0,7,77,0,0,0,77,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,3,0,0,3,0,3,0,0,3,0,0,0,3,0,0,3,59,9,0,7,79,0,0,0,77,0,0,77,29,5,0,0,37,7,0,7,43,3,0,47,0,0,0,0,0,0,0,0,0,0,0,0,86,19,3,4,115,7,0,7,117,7,3,131,29,5,0,0,35,0,0,0,34,3,0,37,40,3,0,4,49,0,0,0,49,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,5,0,0,5,70,6,0,3,81,0,0,0
LGA12350,51,8,3,0,64,0,0,0,64,0,0,59,166,13,4,0,186,3,0,3,186,5,0,192,25,5,0,0,28,0,0,0,28,0,0,28,0,0,0,6,9,0,0,0,9,0,0,9,245,26,8,5,281,3,0,3,286,4,0,288,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,10,0,0,0,10,0,0,14,5,0,0,3,13,0,0,0,13,3,0,16,254,23,8,11,292,3,0,3,295,6,0,298,91,8,0,3,109,22,0,19,125,24,0,150,0,0,0,0,0,0,0,0,0,0,0,4,343,37,12,13,397,19,0,21,420,29,0,451,101,19,0,0,116,0,0,0,118,5,0,123,168,23,0,0,187,0,0,0,191,6,0,197,9,0,4,0,12,0,0,0,12,0,0,12,0,0,0,3,3,0,0,0,3,0,0,3,275,34,3,5,322,0,0,3
