LGA_CODE_2016,C15_17F_EO_M_O_E_T,C15_17F_EO_M_LPENS,C15_17F_EO_M_T,C15_17F_O_EVWW_M_EO,C15_17F_O_EVWW_M_O_EVWW,C15_17F_O_EVWW_M_O_ENWNA,C15_17F_O_EVWW_M_O_PENS,C15_17F_O_EVWW_M_O_E_T,C15_17F_O_EVWW_M_LPENS,C15_17F_O_EVWW_M_T,C15_17F_O_ENWNA_M_EO,C15_17F_O_ENWNA_M_O_EVWW,C15_17F_O_ENWNA_M_O_ENWNA,C15_17F_O_ENWNA_M_O_PENS,C15_17F_O_ENWNA_M_O_E_T,C15_17F_O_ENWNA_M_LPENS,C15_17F_O_ENWNA_M_T,C15_17F_O_PENS_M_EO,C15_17F_O_PENS_M_O_EVWW,C15_17F_O_PENS_M_O_ENWNA,C15_17F_O_PENS_M_O_PENS,C15_17F_O_PENS_M_O_E_T,C15_17F_O_PENS_M_LPENS,C15_17F_O_PENS_M_T,C15_17F_O_E_T_M_EO,C15_17F_O_E_T_M_O_EVWW,C15_17F_O_E_T_M_O_ENWNA,C15_17F_O_E_T_M_O_PENS,C15_17F_O_E_T_M_O_E_T,C15_17F_O_E_T_M_LPENS,C15_17F_O_E_T_M_T,C15_17F_LPENS_M_EO,C15_17F_LPENS_M_O_EVWW,C15_17F_LPENS_M_O_ENWNA,C15_17F_LPENS_M_O_PENS,C15_17F_LPENS_M_O_E_T,C15_17F_LPENS_M_LPENS,C15_17F_LPENS_M_T,C15_17F_T_M_EO,C15_17F_T_M_O_EVWW,C15_17F_T_M_O_ENWNA,C15_17F_T_M_O_PENS,C15_17F_T_M_O_E_T,C15_17F_T_M_LPENS,C15_17F_T_M_T,C18_20F_EO_M_EO,C18_20F_EO_M_O_EVWW,C18_20F_EO_M_O_ENWNA,C18_20F_EO_M_O_PENS,C18_20F_EO_M_O_E_T,C18_20F_EO_M_LPENS,C18_20F_EO_M_T,C18_20F_O_EVWW_M_EO,C18_20F_O_EVWW_M_O_EVWW,C18_20F_O_EVWW_M_O_ENWNA,C18_20F_O_EVWW_M_O_PENS,C18_20F_O_EVWW_M_O_E_T,C18_20F_O_EVWW_M_LPENS,C18_20F_O_EVWW_M_T,C18_20F_O_ENWNA_M_EO,C18_20F_O_ENWNA_M_O_EVWW,C18_20F_O_ENWNA_M_O_ENWNA,C18_20F_O_ENWNA_M_O_PENS,C18_20F_O_ENWNA_M_O_E_T,C18_20F_O_ENWNA_M_LPENS,C18_20F_O_ENWNA_M_T,C18_20F_O_PENS_M_EO,C18_20F_O_PENS_M_O_EVWW,C18_20F_O_PENS_M_O_ENWNA,C18_20F_O_PENS_M_O_PENS,C18_20F_O_PENS_M_O_E_T,C18_20F_O_PENS_M_LPENS,C18_20F_O_PENS_M_T,C18_20F_O_E_T_M_EO,C18_20F_O_E_T_M_O_EVWW,C18_20F_O_E_T_M_O_ENWNA,C18_20F_O_E_T_M_O_PENS,C18_20F_O_E_T_M_O_E_T,C18_20F_O_E_T_M_LPENS,C18_20F_O_E_T_M_T,C18_20F_LPENS_M_EO,C18_20F_LPENS_M_O_EVWW,C18_20F_LPENS_M_O_ENWNA,C18_20F_LPENS_M_O_PENS,C18_20F_LPENS_M_O_E_T,C18_20F_LPENS_M_LPENS,C18_20F_LPENS_M_T,C18_20F_T_M_EO,C18_20F_T_M_O_EVWW,C18_20F_T_M_O_ENWNA,C18_20F_T_M_O_PENS,C18_20F_T_M_O_E_T,C18_20F_T_M_LPENS,C18_20F_T_M_T,C21_24F_EO_M_EO,C21_24F_EO_M_O_EVWW,C21_24F_EO_M_O_ENWNA,C21_24F_EO_M_O_PENS,C21_24F_EO_M_O_E_T,C21_24F_EO_M_LPENS,C21_24F_EO_M_T,C21_24F_O_EVWW_M_EO,C21_24F_O_EVWW_M_O_EVWW,C21_24F_O_EVWW_M_O_ENWNA,C21_24F_O_EVWW_M_O_PENS,C21_24F_O_EVWW_M_O_E_T,C21_24F_O_EVWW_M_LPENS,C21_24F_O_EVWW_M_T,C21_24F_O_ENWNA_M_EO,C21_24F_O_ENWNA_M_O_EVWW,C21_24F_O_ENWNA_M_O_ENWNA,C21_24F_O_ENWNA_M_O_PENS,C21_24F_O_ENWNA_M_O_E_T,C21_24F_O_ENWNA_M_LPENS,C21_24F_O_ENWNA_M_T,C21_24F_O_PENS_M_EO,C21_24F_O_PENS_M_O_EVWW,C21_24F_O_PENS_M_O_ENWNA,C21_24F_O_PENS_M_O_PENS,C21_24F_O_PENS_M_O_E_T,C21_24F_O_PENS_M_LPENS,C21_24F_O_PENS_M_T,C21_24F_O_E_T_M_EO,C21_24F_O_E_T_M_O_EVWW,C21_24F_O_E_T_M_O_ENWNA,C21_24F_O_E_T_M_O_PENS,C21_24F_O_E_T_M_O_E_T,C21_24F_O_E_T_M_LPENS,C21_24F_O_E_T_M_T,C21_24F_LPENS_M_EO,C21_24F_LPENS_M_O_EVWW,C21_24F_LPENS_M_O_ENWNA,C21_24F_LPENS_M_O_PENS,C21_24F_LPENS_M_O_E_T,C21_24F_LPENS_M_LPENS,C21_24F_LPENS_M_T,C21_24F_T_M_EO,C21_24F_T_M_O_EVWW,C21_24F_T_M_O_ENWNA,C21_24F_T_M_O_PENS,C21_24F_T_M_O_E_T,C21_24F_T_M_LPENS,C21_24F_T_M_T,TCF_EO_M_EO,TCF_EO_M_O_EVWW,TCF_EO_M_O_ENWNA,TCF_EO_M_O_PENS,TCF_EO_M_O_E_T,TCF_EO_M_LPENS,TCF_EO_M_T,TCF_O_EVWW_M_EO,TCF_O_EVWW_M_O_EVWW,TCF_O_EVWW_M_O_ENWNA,TCF_O_EVWW_M_O_PENS,TCF_O_EVWW_M_O_E_T,TCF_O_EVWW_M_LPENS,TCF_O_EVWW_M_T,TCF_O_ENWNA_M_EO,TCF_O_ENWNA_M_O_EVWW,TCF_O_ENWNA_M_O_ENWNA,TCF_O_ENWNA_M_O_PENS,TCF_O_ENWNA_M_O_E_T,TCF_O_ENWNA_M_LPENS,TCF_O_ENWNA_M_T,TCF_O_PENS_M_EO,TCF_O_PENS_M_O_EVWW,TCF_O_PENS_M_O_ENWNA,TCF_O_PENS_M_O_PENS,TCF_O_PENS_M_O_E_T,TCF_O_PENS_M_LPENS,TCF_O_PENS_M_T,TCF_O_E_T_M_EO,TCF_O_E_T_M_O_EVWW,TCF_O_E_T_M_O_ENWNA,TCF_O_E_T_M_O_PENS,TCF_O_E_T_M_O_E_T,TCF_O_E_T_M_LPENS,TCF_O_E_T_M_T,TCF_LPENS_M_EO,TCF_LPENS_M_O_EVWW,TCF_LPENS_M_O_ENWNA,TCF_LPENS_M_O_PENS,TCF_LPENS_M_O_E_T,TCF_LPENS_M_LPENS,TCF_LPENS_M_T,TCF_T_M_EO,TCF_T_M_O_EVWW,TCF_T_M_O_ENWNA,TCF_T_M_O_PENS,TCF_T_M_O_E_T,TCF_T_M_LPENS,TCF_T_M_T
LGA10850,0,0,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,0,0,0,0,0,180,39,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,36,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,1281,7,0,0,7,0,1285,10,8,0,0,8,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,0,0,9,0,24,0,0,0,0,0,0,4,1291,13,0,0,19,5,1313
LGA10900,37,0,1720,56,55,0,0,57,0,109,0,4,5,0,10,0,10,0,0,0,0,0,0,0,56,55,5,0,66,0,117,3,4,0,0,4,3,10,1732,97,5,0,104,4,1840,630,13,0,0,13,0,636,33,13,0,0,13,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,13,0,0,19,0,45,0,0,0,0,0,0,0,658,23,0,0,24,0,687,291,0,0,0,0,0,295,12,12,0,0,12,0,23,0,3,0,0,4,0,4,0,0,0,0,0,0,0,14,11,3,0,16,0,25,0,0,0,0,0,0,0,305,17,3,0,19,0,321,12002,311,6,4,318,18,12345,450,501,19,4,523,3,975,3,38,10,0,47,0,48,0,0,0,0,0,0,0,452,534,27,4,572,3,1025,25,6,0,0,6,5,36,12480,856,30,11,897,25,13405
LGA10950,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,45,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,367,11,0,0,11,0,376,3,14,0,0,14,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,0,0,11,0,17,0,0,0,0,0,7,7,373,22,0,0,22,7,398
LGA11100,27,0,386,45,305,13,0,320,0,361,0,37,25,0,62,0,65,0,0,3,0,3,0,4,43,337,42,3,383,0,429,0,0,0,0,0,0,0,400,361,42,3,408,0,809,162,7,0,0,7,0,170,22,220,8,0,226,0,250,0,18,17,0,42,0,43,0,0,0,0,0,0,0,21,239,28,5,267,0,293,0,0,0,0,0,0,0,183,245,28,5,277,0,460,84,3,0,0,3,0,89,13,108,11,4,116,0,125,0,14,17,0,32,0,32,0,0,0,0,0,0,0,13,123,27,4,153,0,159,0,0,0,0,0,0,0,89,128,27,4,153,0,249,3326,268,0,3,275,4,3608,485,2966,111,14,3094,0,3579,11,257,132,3,399,0,409,6,18,3,10,29,0,34,502,3240,248,30,3516,0,4018,5,3,0,3,5,8,14,3831,3518,245,33,3798,11,7637
LGA11150,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320,5,0,0,5,0,320,11,3,0,0,3,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,0,3,0,12,0,0,0,0,0,0,0,330,12,0,0,12,0,338
LGA11200,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,13,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,0,0,0,0,0,178,4,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,6,0,0,0,0,0,0,3,185,0,0,0,3,0,190
LGA11250,0,4,223,3,3,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,0,9,0,0,0,0,0,0,0,228,3,0,0,3,4,233,31,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,36,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,4,1745,13,0,0,13,8,1767,43,49,0,0,49,0,96,0,3,0,0,3,0,3,0,0,0,0,0,0,0,46,53,0,0,53,0,100,3,0,0,0,0,4,14,1798,60,0,0,60,9,1877
LGA11300,18,0,208,45,262,32,0,290,0,337,0,47,65,0,108,0,108,0,0,0,0,0,0,3,43,308,94,0,400,0,445,0,0,0,0,0,0,0,229,328,94,0,423,0,656,124,9,0,0,9,0,135,29,213,29,0,241,0,266,4,52,48,0,101,0,104,0,3,0,0,3,0,3,28,267,78,0,347,0,377,0,0,0,0,0,0,0,157,282,78,0,357,3,511,66,4,0,0,4,0,71,9,117,12,0,134,0,149,0,22,34,0,52,0,52,0,0,0,0,0,0,0,15,139,43,0,187,0,200,0,0,0,0,0,0,0,80,149,43,0,194,0,275,1410,187,3,0,186,3,1601,354,2437,186,13,2638,0,2994,12,307,287,4,599,0,614,3,16,0,0,20,0,18,369,2765,473,22,3254,0,3623,0,7,0,0,7,0,12,1781,2952,476,22,3452,6,5233
LGA11350,11,0,421,11,38,0,0,39,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,38,4,0,39,0,51,9,0,0,0,0,0,9,433,47,4,0,48,0,481,84,3,0,0,3,0,89,0,5,0,0,5,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,10,0,0,0,0,0,0,0,86,10,0,0,10,0,96,32,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,28,3348,94,0,0,94,8,3448,185,246,4,4,250,0,432,0,0,8,0,14,0,14,0,3,0,0,3,0,4,183,246,14,4,263,0,449,17,0,0,0,0,4,28,3546,344,14,4,358,11,3925
LGA11400,3,0,353,3,4,0,0,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,4,0,7,0,0,0,0,0,0,3,359,4,0,0,4,4,363,64,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,64,13,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,13,2481,13,0,0,13,6,2495,34,40,0,0,40,0,72,0,0,3,0,3,0,4,0,0,0,0,0,0,0,37,40,3,0,45,0,76,7,0,0,0,0,3,11,2529,49,3,0,56,10,2586
LGA11450,60,0,1618,65,290,17,0,304,0,371,0,11,12,0,23,0,23,0,4,0,0,4,0,4,67,305,26,0,335,0,403,0,0,0,0,0,0,3,1622,365,30,3,394,0,2018,571,29,0,0,29,0,602,24,155,12,0,171,0,196,0,10,11,0,25,0,25,3,0,0,0,0,0,4,25,171,26,0,197,0,220,0,0,0,0,0,0,0,599,200,26,0,227,0,822,262,10,0,0,10,0,273,9,78,3,0,81,0,89,0,4,4,0,12,0,12,0,3,0,0,3,0,3,9,84,7,0,93,0,100,0,0,0,0,0,0,0,268,96,7,0,102,0,368,13643,597,7,5,609,14,14259,767,2599,92,13,2701,3,3471,8,120,92,7,224,0,227,6,19,0,3,25,0,30,782,2744,188,23,2951,3,3730,14,3,3,0,6,14,41,14438,3340,194,26,3562,32,18030
LGA11500,94,4,1746,130,1266,77,10,1355,0,1487,9,131,73,0,204,3,213,4,15,0,6,19,0,22,144,1408,154,17,1575,3,1720,7,3,0,0,3,3,10,1792,1503,152,18,1675,10,3477,629,35,0,0,35,0,667,63,804,44,0,847,0,903,3,96,55,0,145,0,148,0,10,0,3,11,0,11,65,904,95,4,1005,0,1070,0,3,0,0,3,0,7,697,941,95,4,1040,0,1740,351,8,0,0,8,0,365,29,424,28,0,447,0,480,0,55,35,0,89,0,89,0,0,0,0,0,0,0,29,481,63,0,538,0,569,0,0,0,0,0,0,0,382,492,63,0,553,0,933,13441,990,8,10,1007,28,14479,1246,11322,542,78,11942,5,13190,43,1003,442,5,1451,3,1493,10,85,6,40,132,0,150,1296,12411,987,122,13519,10,14832,23,36,5,0,39,49,115,14766,13431,1006,134,14571,89,29424
LGA11520,50,0,803,100,421,30,5,459,0,556,3,34,32,0,69,0,67,0,3,0,3,4,0,6,101,454,64,7,529,0,631,0,0,0,0,0,0,0,858,502,64,10,579,0,1434,485,32,0,0,34,0,518,59,289,26,6,326,0,380,0,34,32,0,68,0,68,0,0,0,0,0,0,0,59,322,58,6,394,0,446,0,0,0,0,0,0,0,540,356,58,10,423,0,967,254,14,0,0,14,0,268,28,156,12,0,165,0,192,0,17,17,0,31,0,31,0,0,0,0,3,0,3,28,170,29,3,200,0,224,0,0,0,0,0,0,0,275,183,29,3,211,0,491,7208,678,4,3,683,0,7897,1080,4520,189,20,4733,3,5819,10,355,250,3,607,0,617,11,20,5,14,38,0,46,1101,4900,444,41,5382,3,6485,5,11,0,0,11,0,13,8312,5590,445,39,6069,4,14391
LGA11570,211,0,1904,259,4007,456,22,4484,0,4744,11,715,646,3,1369,0,1379,3,33,3,7,45,0,45,270,4756,1102,34,5898,0,6170,0,3,0,0,3,4,10,1960,4969,1104,36,6110,10,8081,821,97,0,0,103,0,926,127,2605,301,7,2918,0,3045,13,560,559,5,1119,0,1133,0,13,0,3,15,3,16,140,3173,864,14,4052,3,4192,0,0,0,0,0,5,6,964,3272,864,14,4153,4,5125,413,57,0,0,56,0,471,69,1302,143,9,1449,0,1515,3,285,324,3,613,0,616,0,3,0,0,5,0,5,72,1593,466,9,2068,0,2137,3,0,0,0,0,0,3,481,1648,465,9,2124,3,2606,14269,2434,46,23,2505,24,16798,2560,36615,3299,206,40121,33,42723,121,5768,4275,42,10079,11,10210,29,223,24,98,338,13,379,2708,42596,7600,343,50538,56,53307,34,56,12,10,73,130,237,17008,45085,7657,374,53116,210,70338
LGA11600,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,4,0,0,4,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,385,9,0,0,9,3,395,3,21,0,0,22,0,28,0,3,0,0,3,0,3,0,0,0,0,0,0,0,3,27,0,0,25,0,26,0,0,0,0,0,0,0,388,28,0,0,29,3,425
LGA11650,110,4,6197,197,255,11,3,269,0,465,6,14,11,0,26,0,34,5,5,0,0,6,0,8,207,275,25,3,304,0,506,3,0,0,0,0,10,15,6287,386,30,4,411,17,6721,2130,29,3,0,30,3,2162,77,127,10,0,138,0,215,3,7,12,0,19,0,22,3,0,0,0,0,0,3,86,136,17,0,161,0,247,7,0,0,0,0,0,7,2220,162,19,0,186,7,2408,950,27,0,0,31,0,980,36,48,3,0,49,0,87,0,11,9,0,20,0,20,0,0,0,0,0,0,0,35,53,11,0,71,0,106,4,0,0,0,0,0,4,989,83,15,0,100,0,1088,46147,1096,22,11,1131,67,47339,1671,2532,91,11,2634,8,4315,45,206,120,0,326,0,371,23,21,4,3,25,0,48,1741,2758,209,16,2984,8,4735,71,10,0,0,10,80,156,47957,3861,231,26,4123,153,52232
LGA11700,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,13,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,7,0,0,7,0,171,3,6,0,0,6,0,9,0,0,0,0,0,0,0,3,0,0,0,0,0,3,4,6,0,0,6,0,9,0,0,0,0,0,7,9,175,13,0,0,14,7,190
LGA11720,10,3,1067,13,5,3,0,5,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,5,3,0,5,0,18,0,0,0,0,0,0,3,1068,12,3,0,12,4,1088,238,4,0,0,4,0,242,3,3,0,0,3,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,8,0,12,0,0,0,0,0,0,0,242,8,0,0,11,0,252,85,0,0,0,0,0,85,0,3,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,4,0,0,0,0,0,0,0,86,3,0,0,3,0,90,8212,48,0,0,46,19,8280,94,110,3,0,113,3,205,5,3,4,0,12,0,16,0,0,0,0,0,0,0,101,113,9,0,125,3,228,3,0,0,0,0,26,33,8320,164,10,0,173,45,8540
LGA11730,4,0,939,16,13,0,0,13,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,9,0,0,9,0,27,6,0,0,0,0,0,3,951,17,0,0,17,0,968,152,0,0,0,0,0,153,4,4,0,0,5,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,5,0,9,0,0,0,0,0,0,0,152,4,0,0,5,0,155,17,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,17,5942,60,0,0,60,15,6022,128,113,11,0,120,0,247,3,3,0,0,8,0,12,0,0,0,0,0,0,0,132,113,11,0,124,0,261,14,0,0,0,0,17,30,6093,180,11,0,186,32,6307
LGA11750,0,0,86,0,8,0,0,8,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,8,0,9,0,0,0,0,0,0,0,84,8,0,0,8,0,91,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,10,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,714,4,0,0,4,0,716,7,62,3,0,64,0,74,0,4,0,0,4,0,4,0,0,0,0,0,0,0,7,68,3,0,68,0,77,0,0,0,0,0,0,0,726,75,3,0,72,0,796
LGA11800,10,0,1227,42,66,3,0,67,0,111,0,13,26,0,40,0,40,0,0,0,0,3,0,3,41,81,34,0,113,0,151,3,0,0,0,0,0,3,1253,92,34,3,124,0,1380,241,4,0,0,4,0,245,13,14,4,0,16,0,34,0,6,19,0,22,0,25,0,0,0,0,0,0,0,19,22,20,0,43,0,59,0,0,0,0,0,0,0,256,29,20,0,47,0,304,69,0,0,0,0,0,69,0,6,0,0,6,0,13,0,0,3,0,4,0,4,0,0,0,0,0,0,0,3,10,3,0,15,0,15,0,0,0,0,0,0,0,74,10,3,0,15,0,86,8942,143,0,3,152,19,9107,297,756,50,4,806,0,1107,8,83,178,0,259,0,272,3,11,0,9,17,0,23,308,848,227,11,1087,0,1398,16,3,0,0,3,16,38,9267,997,227,14,1238,37,10537
LGA12000,0,0,105,0,3,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,3,0,0,0,0,0,0,0,108,3,0,0,3,0,113,11,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,12,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,697,4,0,0,4,3,705,4,5,0,0,5,0,14,0,6,0,0,6,0,6,0,0,0,0,0,0,0,4,10,0,0,10,0,18,6,0,0,0,0,0,10,708,15,0,0,15,8,726
LGA12150,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,44,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,407,0,0,0,0,4,408,0,4,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,4,0,0,0,0,0,0,3,407,4,0,0,4,3,420
LGA12350,0,0,198,0,5,0,0,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,5,0,0,0,0,0,0,0,194,11,0,0,11,0,199,49,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,3,0,0,3,0,51,7,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,4,1608,16,0,0,16,4,1628,6,35,0,0,35,0,40,0,3,0,0,3,0,8,0,0,0,0,0,0,0,8,38,0,0,39,0,48,3,0,0,0,0,0,7,1622,53,0,0,54,3,1683
LGA12380,88,0,818,113,2313,320,13,2649,3,2767,7,498,496,10,1004,0,1010,0,15,3,3,22,0,22,122,2824,825,20,3671,3,3797,0,4,0,0,3,3,10,851,2904,829,28,3760,7,4620,367,40,0,0,40,0,412,70,1517,192,5,1721,0,1793,3,376,427,6,815,0,815,0,11,8,0,21,0,18,80,1907,632,15,2554,0,2631,0,0,0,0,0,0,10,450,1949,630,16,2597,0,3049,179,18,0,0,19,0,203,34,767,116,0,887,0,929,0,183,258,4,453,0,454,0,3,3,0,3,0,3,38,958,380,4,1343,0,1383,0,3,0,0,3,6,9,216,983,386,4,1370,7,1592,6521,1139,39,13,1197,5,7724,1326,24462,2521,124,27101,19,28448,46,4190,3603,64,7853,13,7915,9,140,32,88,261,0,267,1383,28790,6160,270,35218,33,36635,16,43,0,5,46,75,131,7915,29973,6198,288,36457,116,44491
LGA12700,0,0,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,204,0,0,0,0,3,209,48,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,47,21,0,0,0,0,0,18,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,22,0,0,0,0,0,25,1413,12,0,0,12,6,1433,13,3,0,0,3,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,3,0,0,3,0,16,6,0,0,0,0,9,7,1429,19,0,0,19,10,1456
