GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HC02_MOE_VC03,All families  - Percent below poverty level; Margin of Error; With related children of householder under 18 years - With related children of householder under 5 years
HC03_EST_VC03,Married-couple families  - Total; Estimate; With related children of householder under 18 years - With related children of householder under 5 years
HC03_MOE_VC03,Married-couple families  - Total; Margin of Error; With related children of householder under 18 years - With related children of householder under 5 years
HC04_EST_VC03,Married-couple families  - Percent below poverty level; Estimate; With related children of householder under 18 years - With related children of householder under 5 years
HC04_MOE_VC03,Married-couple families  - Percent below poverty level; Margin of Error; With related children of householder under 18 years - With related children of householder under 5 years
HC05_EST_VC03,"Female householder, no husband present  - Total; Estimate; With related children of householder under 18 years - With related children of householder under 5 years"
HC05_MOE_VC03,"Female householder, no husband present  - Total; Margin of Error; With related children of householder under 18 years - With related children of householder under 5 years"
HC06_EST_VC03,"Female householder, no husband present  - Percent below poverty level; Estimate; With related children of householder under 18 years - With related children of householder under 5 years"
HC06_MOE_VC03,"Female householder, no husband present  - Percent below poverty level; Margin of Error; With related children of householder under 18 years - With related children of householder under 5 years"
HC01_EST_VC04,All families  - Total; Estimate; With related children of householder under 18 years - With related children of householder under 5 years and 5 to 17 years
HC01_MOE_VC04,All families  - Total; Margin of Error; With related children of householder under 18 years - With related children of householder under 5 years and 5 to 17 years
HC02_EST_VC04,All families  - Percent below poverty level; Estimate; With related children of householder under 18 years - With related children of householder under 5 years and 5 to 17 years
HC02_MOE_VC04,All families  - Percent below poverty level; Margin of Error; With related children of householder under 18 years - With related children of householder under 5 years and 5 to 17 years
HC03_EST_VC04,Married-couple families  - Total; Estimate; With related children of householder under 18 years - With related children of householder under 5 years and 5 to 17 years
HC03_MOE_VC04,Married-couple families  - Total; Margin of Error; With related children of householder under 18 years - With related children of householder under 5 years and 5 to 17 years
HC04_EST_VC04,Married-couple families  - Percent below poverty level; Estimate; With related children of householder under 18 years - With related children of householder under 5 years and 5 to 17 years
HC04_MOE_VC04,Married-couple families  - Percent below poverty level; Margin of Error; With related children of householder under 18 years - With related children of householder under 5 years and 5 to 17 years
HC05_EST_VC04,"Female householder, no husband present  - Total; Estimate; With related children of householder under 18 years - With related children of householder under 5 years and 5 to 17 years"
HC05_MOE_VC04,"Female householder, no husband present  - Total; Margin of Error; With related children of householder under 18 years - With related children of householder under 5 years and 5 to 17 years"
HC06_EST_VC04,"Female householder, no husband present  - Percent below poverty level; Estimate; With related children of householder under 18 years - With related children of householder under 5 years and 5 to 17 years"
HC06_MOE_VC04,"Female householder, no husband present  - Percent below poverty level; Margin of Error; With related children of householder under 18 years - With related children of householder under 5 years and 5 to 17 years"
HC01_EST_VC05,All families  - Total; Estimate; With related children of householder under 18 years - With related children of householder 5 to 17 years
HC01_MOE_VC05,All families  - Total; Margin of Error; With related children of householder under 18 years - With related children of householder 5 to 17 years
HC02_EST_VC05,All families  - Percent below poverty level; Estimate; With related children of householder under 18 years - With related children of householder 5 to 17 years
HC02_MOE_VC05,All families  - Percent below poverty level; Margin of Error; With related children of householder under 18 years - With related children of householder 5 to 17 years
HC03_EST_VC05,Married-couple families  - Total; Estimate; With related children of householder under 18 years - With related children of householder 5 to 17 years
HC03_MOE_VC05,Married-couple families  - Total; Margin of Error; With related children of householder under 18 years - With related children of householder 5 to 17 years
HC04_EST_VC05,Married-couple families  - Percent below poverty level; Estimate; With related children of householder under 18 years - With related children of householder 5 to 17 years
HC04_MOE_VC05,Married-couple families  - Percent below poverty level; Margin of Error; With related children of householder under 18 years - With related children of householder 5 to 17 years
HC05_EST_VC05,"Female householder, no husband present  - Total; Estimate; With related children of householder under 18 years - With related children of householder 5 to 17 years"
HC05_MOE_VC05,"Female householder, no husband present  - Total; Margin of Error; With related children of householder under 18 years - With related children of householder 5 to 17 years"
HC06_EST_VC05,"Female householder, no husband present  - Percent below poverty level; Estimate; With related children of householder under 18 years - With related children of householder 5 to 17 years"
HC06_MOE_VC05,"Female householder, no husband present  - Percent below poverty level; Margin of Error; With related children of householder under 18 years - With related children of householder 5 to 17 years"
HC01_EST_VC09,All families  - Total; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - Families with a householder who is-- - White alone
HC01_MOE_VC09,All families  - Total; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - Families with a householder who is-- - White alone
HC02_EST_VC09,All families  - Percent below poverty level; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - Families with a householder who is-- - White alone
HC02_MOE_VC09,All families  - Percent below poverty level; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - Families with a householder who is-- - White alone
HC03_EST_VC09,Married-couple families  - Total; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - Families with a householder who is-- - White alone
HC03_MOE_VC09,Married-couple families  - Total; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - Families with a householder who is-- - White alone
HC04_EST_VC09,Married-couple families  - Percent below poverty level; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - Families with a householder who is-- - White alone
HC04_MOE_VC09,Married-couple families  - Percent below poverty level; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - Families with a householder who is-- - White alone
HC05_EST_VC09,"Female householder, no husband present  - Total; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - Families with a householder who is-- - White alone"
HC05_MOE_VC09,"Female householder, no husband present  - Total; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - Families with a householder who is-- - White alone"
HC06_EST_VC09,"Female householder, no husband present  - Percent below poverty level; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - Families with a householder who is-- - White alone"
HC06_MOE_VC09,"Female householder, no husband present  - Percent below poverty level; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - Families with a householder who is-- - White alone"
HC01_EST_VC10,All families  - Total; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - Families with a householder who is-- - Black or African American alone
HC01_MOE_VC10,All families  - Total; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - Families with a householder who is-- - Black or African American alone
HC02_EST_VC10,All families  - Percent below poverty level; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - Families with a householder who is-- - Black or African American alone
HC02_MOE_VC10,All families  - Percent below poverty level; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - Families with a householder who is-- - Black or African American alone
HC03_EST_VC10,Married-couple families  - Total; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - Families with a householder who is-- - Black or African American alone
HC03_MOE_VC10,Married-couple families  - Total; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - Families with a householder who is-- - Black or African American alone
HC04_EST_VC10,Married-couple families  - Percent below poverty level; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - Families with a householder who is-- - Black or African American alone
HC04_MOE_VC10,Married-couple families  - Percent below poverty level; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - Families with a householder who is-- - Black or African American alone
HC05_EST_VC10,"Female householder, no husband present  - Total; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - Families with a householder who is-- - Black or African American alone"
HC05_MOE_VC10,"Female householder, no husband present  - Total; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - Families with a householder who is-- - Black or African American alone"
HC06_EST_VC10,"Female householder, no husband present  - Percent below poverty level; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - Families with a householder who is-- - Black or African American alone"
HC06_MOE_VC10,"Female householder, no husband present  - Percent below poverty level; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - Families with a householder who is-- - Black or African American alone"
HC01_EST_VC11,All families  - Total; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - Families with a householder who is-- - American Indian and Alaska Native alone
HC01_MOE_VC11,All families  - Total; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - Families with a householder who is-- - American Indian and Alaska Native alone
HC02_EST_VC11,All families  - Percent below poverty level; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - Families with a householder who is-- - American Indian and Alaska Native alone
HC02_MOE_VC11,All families  - Percent below poverty level; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - Families with a householder who is-- - American Indian and Alaska Native alone
HC03_EST_VC11,Married-couple families  - Total; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - Families with a householder who is-- - American Indian and Alaska Native alone
HC03_MOE_VC11,Married-couple families  - Total; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - Families with a householder who is-- - American Indian and Alaska Native alone
HC04_EST_VC11,Married-couple families  - Percent below poverty level; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - Families with a householder who is-- - American Indian and Alaska Native alone
HC04_MOE_VC11,Married-couple families  - Percent below poverty level; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - Families with a householder who is-- - American Indian and Alaska Native alone
HC05_EST_VC11,"Female householder, no husband present  - Total; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - Families with a householder who is-- - American Indian and Alaska Native alone"
HC05_MOE_VC11,"Female householder, no husband present  - Total; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - Families with a householder who is-- - American Indian and Alaska Native alone"
HC06_EST_VC11,"Female householder, no husband present  - Percent below poverty level; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - Families with a householder who is-- - American Indian and Alaska Native alone"
HC06_MOE_VC11,"Female householder, no husband present  - Percent below poverty level; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - Families with a householder who is-- - American Indian and Alaska Native alone"
HC01_EST_VC12,All families  - Total; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - Families with a householder who is-- - Asian alone
HC01_MOE_VC12,All families  - Total; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - Families with a householder who is-- - Asian alone
HC02_EST_VC12,All families  - Percent below poverty level; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - Families with a householder who is-- - Asian alone
HC02_MOE_VC12,All families  - Percent below poverty level; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - Families with a householder who is-- - Asian alone
HC03_EST_VC12,Married-couple families  - Total; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - Families with a householder who is-- - Asian alone
HC03_MOE_VC12,Married-couple families  - Total; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - Families with a householder who is-- - Asian alone
HC04_EST_VC12,Married-couple families  - Percent below poverty level; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - Families with a householder who is-- - Asian alone
HC04_MOE_VC12,Married-couple families  - Percent below poverty level; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - Families with a householder who is-- - Asian alone
HC05_EST_VC12,"Female householder, no husband present  - Total; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - Families with a householder who is-- - Asian alone"
HC05_MOE_VC12,"Female householder, no husband present  - Total; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - Families with a householder who is-- - Asian alone"
HC06_EST_VC12,"Female householder, no husband present  - Percent below poverty level; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - Families with a householder who is-- - Asian alone"
HC06_MOE_VC12,"Female householder, no husband present  - Percent below poverty level; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - Families with a householder who is-- - Asian alone"
HC01_EST_VC13,All families  - Total; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - Families with a householder who is-- - Native Hawaiian and Other Pacific Islander alone
HC01_MOE_VC13,All families  - Total; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - Families with a householder who is-- - Native Hawaiian and Other Pacific Islander alone
HC02_EST_VC13,All families  - Percent below poverty level; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - Families with a householder who is-- - Native Hawaiian and Other Pacific Islander alone
HC02_MOE_VC13,All families  - Percent below poverty level; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - Families with a householder who is-- - Native Hawaiian and Other Pacific Islander alone
HC03_EST_VC13,Married-couple families  - Total; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - Families with a householder who is-- - Native Hawaiian and Other Pacific Islander alone
HC03_MOE_VC13,Married-couple families  - Total; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - Families with a householder who is-- - Native Hawaiian and Other Pacific Islander alone
HC04_EST_VC13,Married-couple families  - Percent below poverty level; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - Families with a householder who is-- - Native Hawaiian and Other Pacific Islander alone
HC04_MOE_VC13,Married-couple families  - Percent below poverty level; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - Families with a householder who is-- - Native Hawaiian and Other Pacific Islander alone
HC05_EST_VC13,"Female householder, no husband present  - Total; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - Families with a householder who is-- - Native Hawaiian and Other Pacific Islander alone"
HC05_MOE_VC13,"Female householder, no husband present  - Total; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - Families with a householder who is-- - Native Hawaiian and Other Pacific Islander alone"
HC06_EST_VC13,"Female householder, no husband present  - Percent below poverty level; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - Families with a householder who is-- - Native Hawaiian and Other Pacific Islander alone"
HC06_MOE_VC13,"Female householder, no husband present  - Percent below poverty level; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - Families with a householder who is-- - Native Hawaiian and Other Pacific Islander alone"
HC01_EST_VC14,All families  - Total; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - Families with a householder who is-- - Some other race alone
HC01_MOE_VC14,All families  - Total; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - Families with a householder who is-- - Some other race alone
HC02_EST_VC14,All families  - Percent below poverty level; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - Families with a householder who is-- - Some other race alone
HC02_MOE_VC14,All families  - Percent below poverty level; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - Families with a householder who is-- - Some other race alone
HC03_EST_VC14,Married-couple families  - Total; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - Families with a householder who is-- - Some other race alone
HC03_MOE_VC14,Married-couple families  - Total; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - Families with a householder who is-- - Some other race alone
HC04_EST_VC14,Married-couple families  - Percent below poverty level; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - Families with a householder who is-- - Some other race alone
HC04_MOE_VC14,Married-couple families  - Percent below poverty level; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - Families with a householder who is-- - Some other race alone
HC05_EST_VC14,"Female householder, no husband present  - Total; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - Families with a householder who is-- - Some other race alone"
HC05_MOE_VC14,"Female householder, no husband present  - Total; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - Families with a householder who is-- - Some other race alone"
HC06_EST_VC14,"Female householder, no husband present  - Percent below poverty level; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - Families with a householder who is-- - Some other race alone"
HC06_MOE_VC14,"Female householder, no husband present  - Percent below poverty level; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - Families with a householder who is-- - Some other race alone"
HC01_EST_VC15,All families  - Total; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - Families with a householder who is-- - Two or more races
HC01_MOE_VC15,All families  - Total; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - Families with a householder who is-- - Two or more races
HC02_EST_VC15,All families  - Percent below poverty level; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - Families with a householder who is-- - Two or more races
HC02_MOE_VC15,All families  - Percent below poverty level; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - Families with a householder who is-- - Two or more races
HC03_EST_VC15,Married-couple families  - Total; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - Families with a householder who is-- - Two or more races
HC03_MOE_VC15,Married-couple families  - Total; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - Families with a householder who is-- - Two or more races
HC04_EST_VC15,Married-couple families  - Percent below poverty level; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - Families with a householder who is-- - Two or more races
HC04_MOE_VC15,Married-couple families  - Percent below poverty level; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - Families with a householder who is-- - Two or more races
HC05_EST_VC15,"Female householder, no husband present  - Total; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - Families with a householder who is-- - Two or more races"
HC05_MOE_VC15,"Female householder, no husband present  - Total; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - Families with a householder who is-- - Two or more races"
HC06_EST_VC15,"Female householder, no husband present  - Percent below poverty level; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - Families with a householder who is-- - Two or more races"
HC06_MOE_VC15,"Female householder, no husband present  - Percent below poverty level; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - Families with a householder who is-- - Two or more races"
HC01_EST_VC17,All families  - Total; Estimate; Hispanic or Latino origin (of any race)
HC01_MOE_VC17,All families  - Total; Margin of Error; Hispanic or Latino origin (of any race)
HC02_EST_VC17,All families  - Percent below poverty level; Estimate; Hispanic or Latino origin (of any race)
HC02_MOE_VC17,All families  - Percent below poverty level; Margin of Error; Hispanic or Latino origin (of any race)
HC03_EST_VC17,Married-couple families  - Total; Estimate; Hispanic or Latino origin (of any race)
HC03_MOE_VC17,Married-couple families  - Total; Margin of Error; Hispanic or Latino origin (of any race)
HC04_EST_VC17,Married-couple families  - Percent below poverty level; Estimate; Hispanic or Latino origin (of any race)
HC04_MOE_VC17,Married-couple families  - Percent below poverty level; Margin of Error; Hispanic or Latino origin (of any race)
HC05_EST_VC17,"Female householder, no husband present  - Total; Estimate; Hispanic or Latino origin (of any race)"
HC05_MOE_VC17,"Female householder, no husband present  - Total; Margin of Error; Hispanic or Latino origin (of any race)"
HC06_EST_VC17,"Female householder, no husband present  - Percent below poverty level; Estimate; Hispanic or Latino origin (of any race)"
HC06_MOE_VC17,"Female householder, no husband present  - Percent below poverty level; Margin of Error; Hispanic or Latino origin (of any race)"
HC01_EST_VC18,"All families  - Total; Estimate; White alone, not Hispanic or Latino"
HC01_MOE_VC18,"All families  - Total; Margin of Error; White alone, not Hispanic or Latino"
HC02_EST_VC18,"All families  - Percent below poverty level; Estimate; White alone, not Hispanic or Latino"
HC02_MOE_VC18,"All families  - Percent below poverty level; Margin of Error; White alone, not Hispanic or Latino"
HC03_EST_VC18,"Married-couple families  - Total; Estimate; White alone, not Hispanic or Latino"
HC03_MOE_VC18,"Married-couple families  - Total; Margin of Error; White alone, not Hispanic or Latino"
HC04_EST_VC18,"Married-couple families  - Percent below poverty level; Estimate; White alone, not Hispanic or Latino"
HC04_MOE_VC18,"Married-couple families  - Percent below poverty level; Margin of Error; White alone, not Hispanic or Latino"
HC05_EST_VC18,"Female householder, no husband present  - Total; Estimate; White alone, not Hispanic or Latino"
HC05_MOE_VC18,"Female householder, no husband present  - Total; Margin of Error; White alone, not Hispanic or Latino"
HC06_EST_VC18,"Female householder, no husband present  - Percent below poverty level; Estimate; White alone, not Hispanic or Latino"
HC06_MOE_VC18,"Female householder, no husband present  - Percent below poverty level; Margin of Error; White alone, not Hispanic or Latino"
HC01_EST_VC20,All families  - Total; Estimate; Householder worked
HC01_MOE_VC20,All families  - Total; Margin of Error; Householder worked
HC02_EST_VC20,All families  - Percent below poverty level; Estimate; Householder worked
HC02_MOE_VC20,All families  - Percent below poverty level; Margin of Error; Householder worked
HC03_EST_VC20,Married-couple families  - Total; Estimate; Householder worked
HC03_MOE_VC20,Married-couple families  - Total; Margin of Error; Householder worked
HC04_EST_VC20,Married-couple families  - Percent below poverty level; Estimate; Householder worked
HC04_MOE_VC20,Married-couple families  - Percent below poverty level; Margin of Error; Householder worked
HC05_EST_VC20,"Female householder, no husband present  - Total; Estimate; Householder worked"
HC05_MOE_VC20,"Female householder, no husband present  - Total; Margin of Error; Householder worked"
HC06_EST_VC20,"Female householder, no husband present  - Percent below poverty level; Estimate; Householder worked"
HC06_MOE_VC20,"Female householder, no husband present  - Percent below poverty level; Margin of Error; Householder worked"
HC01_EST_VC21,"All families  - Total; Estimate; Householder worked - Householder worked full-time, year-round in the past 12 months"
HC01_MOE_VC21,"All families  - Total; Margin of Error; Householder worked - Householder worked full-time, year-round in the past 12 months"
HC02_EST_VC21,"All families  - Percent below poverty level; Estimate; Householder worked - Householder worked full-time, year-round in the past 12 months"
HC02_MOE_VC21,"All families  - Percent below poverty level; Margin of Error; Householder worked - Householder worked full-time, year-round in the past 12 months"
HC03_EST_VC21,"Married-couple families  - Total; Estimate; Householder worked - Householder worked full-time, year-round in the past 12 months"
HC03_MOE_VC21,"Married-couple families  - Total; Margin of Error; Householder worked - Householder worked full-time, year-round in the past 12 months"
HC04_EST_VC21,"Married-couple families  - Percent below poverty level; Estimate; Householder worked - Householder worked full-time, year-round in the past 12 months"
HC04_MOE_VC21,"Married-couple families  - Percent below poverty level; Margin of Error; Householder worked - Householder worked full-time, year-round in the past 12 months"
HC05_EST_VC21,"Female householder, no husband present  - Total; Estimate; Householder worked - Householder worked full-time, year-round in the past 12 months"
HC05_MOE_VC21,"Female householder, no husband present  - Total; Margin of Error; Householder worked - Householder worked full-time, year-round in the past 12 months"
HC06_EST_VC21,"Female householder, no husband present  - Percent below poverty level; Estimate; Householder worked - Householder worked full-time, year-round in the past 12 months"
HC06_MOE_VC21,"Female householder, no husband present  - Percent below poverty level; Margin of Error; Householder worked - Householder worked full-time, year-round in the past 12 months"
HC01_EST_VC23,All families  - Total; Estimate; Householder 65 years and over
HC01_MOE_VC23,All families  - Total; Margin of Error; Householder 65 years and over
HC02_EST_VC23,All families  - Percent below poverty level; Estimate; Householder 65 years and over
HC02_MOE_VC23,All families  - Percent below poverty level; Margin of Error; Householder 65 years and over
HC03_EST_VC23,Married-couple families  - Total; Estimate; Householder 65 years and over
HC03_MOE_VC23,Married-couple families  - Total; Margin of Error; Householder 65 years and over
HC04_EST_VC23,Married-couple families  - Percent below poverty level; Estimate; Householder 65 years and over
HC04_MOE_VC23,Married-couple families  - Percent below poverty level; Margin of Error; Householder 65 years and over
HC05_EST_VC23,"Female householder, no husband present  - Total; Estimate; Householder 65 years and over"
HC05_MOE_VC23,"Female householder, no husband present  - Total; Margin of Error; Householder 65 years and over"
HC06_EST_VC23,"Female householder, no husband present  - Percent below poverty level; Estimate; Householder 65 years and over"
HC06_MOE_VC23,"Female householder, no husband present  - Percent below poverty level; Margin of Error; Householder 65 years and over"
HC01_EST_VC25,All families  - Total; Estimate; Family received -- - Supplemental Security Income (SSI) and/or cash public assistance income in the past 12 months
HC01_MOE_VC25,All families  - Total; Margin of Error; Family received -- - Supplemental Security Income (SSI) and/or cash public assistance income in the past 12 months
HC02_EST_VC25,All families  - Percent below poverty level; Estimate; Family received -- - Supplemental Security Income (SSI) and/or cash public assistance income in the past 12 months
HC02_MOE_VC25,All families  - Percent below poverty level; Margin of Error; Family received -- - Supplemental Security Income (SSI) and/or cash public assistance income in the past 12 months
HC03_EST_VC25,Married-couple families  - Total; Estimate; Family received -- - Supplemental Security Income (SSI) and/or cash public assistance income in the past 12 months
HC03_MOE_VC25,Married-couple families  - Total; Margin of Error; Family received -- - Supplemental Security Income (SSI) and/or cash public assistance income in the past 12 months
HC04_EST_VC25,Married-couple families  - Percent below poverty level; Estimate; Family received -- - Supplemental Security Income (SSI) and/or cash public assistance income in the past 12 months
HC04_MOE_VC25,Married-couple families  - Percent below poverty level; Margin of Error; Family received -- - Supplemental Security Income (SSI) and/or cash public assistance income in the past 12 months
HC05_EST_VC25,"Female householder, no husband present  - Total; Estimate; Family received -- - Supplemental Security Income (SSI) and/or cash public assistance income in the past 12 months"
HC05_MOE_VC25,"Female householder, no husband present  - Total; Margin of Error; Family received -- - Supplemental Security Income (SSI) and/or cash public assistance income in the past 12 months"
HC06_EST_VC25,"Female householder, no husband present  - Percent below poverty level; Estimate; Family received -- - Supplemental Security Income (SSI) and/or cash public assistance income in the past 12 months"
HC06_MOE_VC25,"Female householder, no husband present  - Percent below poverty level; Margin of Error; Family received -- - Supplemental Security Income (SSI) and/or cash public assistance income in the past 12 months"
HC01_EST_VC26,All families  - Total; Estimate; Family received -- - Social security income in the past 12 months
HC01_MOE_VC26,All families  - Total; Margin of Error; Family received -- - Social security income in the past 12 months
HC02_EST_VC26,All families  - Percent below poverty level; Estimate; Family received -- - Social security income in the past 12 months
HC02_MOE_VC26,All families  - Percent below poverty level; Margin of Error; Family received -- - Social security income in the past 12 months
HC03_EST_VC26,Married-couple families  - Total; Estimate; Family received -- - Social security income in the past 12 months
HC03_MOE_VC26,Married-couple families  - Total; Margin of Error; Family received -- - Social security income in the past 12 months
HC04_EST_VC26,Married-couple families  - Percent below poverty level; Estimate; Family received -- - Social security income in the past 12 months
HC04_MOE_VC26,Married-couple families  - Percent below poverty level; Margin of Error; Family received -- - Social security income in the past 12 months
HC05_EST_VC26,"Female householder, no husband present  - Total; Estimate; Family received -- - Social security income in the past 12 months"
HC05_MOE_VC26,"Female householder, no husband present  - Total; Margin of Error; Family received -- - Social security income in the past 12 months"
HC06_EST_VC26,"Female householder, no husband present  - Percent below poverty level; Estimate; Family received -- - Social security income in the past 12 months"
HC06_MOE_VC26,"Female householder, no husband present  - Percent below poverty level; Margin of Error; Family received -- - Social security income in the past 12 months"
HC01_EST_VC29,All families  - Total; Estimate; EDUCATIONAL ATTAINMENT OF HOUSEHOLDER - Less than high school graduate
HC01_MOE_VC29,All families  - Total; Margin of Error; EDUCATIONAL ATTAINMENT OF HOUSEHOLDER - Less than high school graduate
