,id,recid,sex,age,age_cat,race,juv_fel_count,juv_misd_count,juv_other_count,priors_count,charge_severity
93,186,1,Male,29,25 - 45,African-American,0,0,0,5,Middle
94,188,1,Male,29,25 - 45,African-American,0,0,0,5,Middle
95,189,0,Male,27,25 - 45,Caucasian,0,0,1,1,High
96,190,0,Male,27,25 - 45,Caucasian,0,0,1,1,High
97,194,0,Female,24,Less than 25,Hispanic,0,0,0,1,Unknown
98,196,0,Male,51,Greater than 45,African-American,0,0,0,1,Unknown
99,199,0,Male,22,Less than 25,African-American,0,0,0,1,Middle
100,202,0,Male,22,Less than 25,Caucasian,0,0,0,0,Unknown
101,204,0,Male,22,Less than 25,Caucasian,0,0,0,0,Unknown
102,205,0,Male,22,Less than 25,Caucasian,0,0,0,0,Unknown
103,207,0,Male,27,25 - 45,Caucasian,0,0,0,1,Middle
104,208,0,Female,59,Greater than 45,African-American,0,0,0,2,Unknown
105,210,0,Male,32,25 - 45,African-American,0,0,0,0,Unknown
106,212,0,Male,50,Greater than 45,Caucasian,0,0,0,0,Unknown
107,214,0,Male,30,25 - 45,African-American,0,0,0,8,Middle
108,215,1,Male,30,25 - 45,African-American,0,0,0,8,Middle
109,216,0,Male,66,Greater than 45,African-American,0,0,0,0,Unknown
110,220,0,Male,50,Greater than 45,Other,0,0,0,0,Middle
111,222,0,Male,25,25 - 45,African-American,1,6,1,14,Middle
112,225,1,Male,25,25 - 45,African-American,1,6,1,14,Middle
113,228,0,Male,20,Less than 25,Other,0,0,0,0,High
114,230,0,Male,22,Less than 25,African-American,1,0,0,2,Middle
115,231,0,Male,22,Less than 25,African-American,1,0,0,2,Middle
116,233,0,Male,23,Less than 25,African-American,0,0,1,2,Middle
117,234,1,Male,54,Greater than 45,African-American,0,0,0,6,Unknown
118,236,0,Male,40,25 - 45,Caucasian,0,0,0,4,Unknown
119,238,0,Male,25,25 - 45,African-American,0,0,0,10,Unknown
120,240,0,Female,35,25 - 45,African-American,0,0,0,1,Unknown
121,241,0,Male,36,25 - 45,African-American,0,0,0,9,Middle
122,242,1,Male,36,25 - 45,African-American,0,0,0,9,Middle
123,246,0,Male,21,Less than 25,Other,0,0,0,1,Middle
124,248,0,Male,21,Less than 25,Other,0,0,0,1,Middle
125,251,0,Female,28,25 - 45,African-American,0,0,0,0,Unknown
126,254,0,Male,25,25 - 45,Caucasian,0,0,0,9,Middle
127,256,0,Male,34,25 - 45,African-American,0,0,0,3,Unknown
128,257,0,Female,20,Less than 25,Caucasian,0,0,0,0,Unknown
129,259,0,Male,39,25 - 45,Caucasian,0,0,0,2,High
130,260,0,Male,39,25 - 45,Caucasian,0,0,0,2,High
131,262,0,Male,39,25 - 45,Caucasian,0,0,0,2,High
132,264,0,Male,39,25 - 45,Caucasian,0,0,0,2,High
133,266,0,Male,66,Greater than 45,Caucasian,0,0,0,3,Unknown
134,267,0,Female,54,Greater than 45,Caucasian,0,0,0,0,Unknown
135,268,0,Male,28,25 - 45,African-American,0,0,0,0,Unknown
136,272,0,Male,24,Less than 25,African-American,0,0,0,1,Unknown
137,274,0,Female,39,25 - 45,Caucasian,0,0,0,0,Middle
138,277,1,Male,24,Less than 25,Caucasian,0,1,2,8,High
139,280,0,Male,24,Less than 25,Caucasian,0,1,2,8,High
140,282,0,Male,30,25 - 45,Caucasian,0,0,0,0,Unknown
141,283,0,Male,30,25 - 45,Caucasian,0,0,0,0,Unknown
142,285,0,Female,39,25 - 45,Caucasian,0,0,0,1,Unknown
143,286,0,Female,39,25 - 45,Caucasian,0,0,0,1,Unknown
144,288,0,Female,39,25 - 45,Caucasian,0,0,0,1,Unknown
145,290,1,Male,59,Greater than 45,African-American,0,0,0,14,High
146,292,1,Male,35,25 - 45,Caucasian,0,0,0,7,Unknown
147,293,0,Female,24,Less than 25,Other,0,0,0,0,Unknown
148,294,0,Male,43,25 - 45,Caucasian,0,0,0,1,Unknown
149,298,0,Male,21,Less than 25,African-American,1,0,1,2,Unknown
150,300,0,Male,21,Less than 25,African-American,1,0,1,2,Unknown
151,303,0,Male,21,Less than 25,African-American,0,0,0,3,Middle
152,306,0,Male,21,Less than 25,African-American,0,0,0,3,Middle
153,308,0,Male,20,Less than 25,African-American,0,0,0,0,Unknown
154,309,0,Male,20,Less than 25,African-American,0,0,0,0,Unknown
155,311,0,Male,20,Less than 25,African-American,0,0,0,0,Unknown
156,312,0,Male,20,Less than 25,African-American,0,0,0,0,Unknown
157,314,0,Male,38,25 - 45,Caucasian,0,0,0,5,High
158,316,0,Male,27,25 - 45,African-American,0,0,0,3,Unknown
159,318,0,Male,34,25 - 45,Caucasian,0,0,0,0,Unknown
160,319,0,Male,34,25 - 45,Caucasian,0,0,0,0,Unknown
161,320,0,Male,30,25 - 45,African-American,0,0,0,3,Unknown
162,324,0,Male,42,25 - 45,Caucasian,0,0,0,1,High
163,326,0,Male,42,25 - 45,Caucasian,0,0,0,1,High
164,329,0,Male,22,Less than 25,African-American,0,0,0,0,High
165,332,0,Male,33,25 - 45,African-American,0,12,2,28,Middle
166,334,0,Male,44,25 - 45,Caucasian,0,0,0,0,Unknown
167,335,0,Male,31,25 - 45,African-American,0,0,0,1,Unknown
168,337,0,Male,26,25 - 45,African-American,0,0,0,9,Unknown
169,338,0,Female,30,25 - 45,Other,0,0,0,1,Unknown
170,340,0,Female,30,25 - 45,Other,0,0,0,1,Unknown
171,342,0,Male,27,25 - 45,African-American,0,0,0,3,High
172,344,0,Female,31,25 - 45,Caucasian,0,0,0,1,Unknown
173,345,0,Male,47,Greater than 45,Hispanic,0,0,0,2,Unknown
174,346,1,Male,56,Greater than 45,African-American,0,0,0,8,Unknown
175,350,0,Male,33,25 - 45,Asian,0,0,0,2,Unknown
176,352,1,Male,33,25 - 45,African-American,0,0,0,19,Middle
177,355,0,Female,64,Greater than 45,Caucasian,0,0,0,2,Unknown
178,358,1,Male,42,25 - 45,Caucasian,0,0,0,6,Unknown
179,360,0,Male,42,25 - 45,Caucasian,0,0,0,6,Unknown
180,361,0,Female,25,25 - 45,Caucasian,0,0,0,2,Unknown
181,363,0,Male,27,25 - 45,Caucasian,0,0,0,0,Unknown
182,364,0,Male,30,25 - 45,Caucasian,0,0,0,1,Unknown
183,366,0,Male,28,25 - 45,Caucasian,0,0,0,2,Unknown
184,368,0,Male,21,Less than 25,Caucasian,0,0,0,1,Unknown
185,370,0,Male,28,25 - 45,Caucasian,0,0,0,0,Middle
186,371,0,Male,28,25 - 45,Caucasian,0,0,0,0,Middle
187,372,0,Female,24,Less than 25,African-American,0,0,0,0,Unknown
188,376,0,Male,22,Less than 25,African-American,0,0,0,0,Unknown
189,378,0,Female,29,25 - 45,Caucasian,0,1,0,10,High
190,381,0,Female,25,25 - 45,Caucasian,0,0,0,0,Unknown
191,384,0,Female,30,25 - 45,Hispanic,0,0,0,4,Middle
192,386,0,Male,32,25 - 45,African-American,0,0,0,3,High
193,387,0,Male,32,25 - 45,African-American,0,0,0,3,High
194,389,0,Male,34,25 - 45,Other,0,0,0,1,Unknown
195,390,0,Male,31,25 - 45,Caucasian,0,0,0,2,Middle
196,392,1,Male,27,25 - 45,African-American,0,0,0,5,Unknown
197,394,0,Male,59,Greater than 45,Caucasian,0,0,0,1,Middle
198,396,0,Male,59,Greater than 45,Caucasian,0,0,0,1,Middle
199,397,1,Male,28,25 - 45,African-American,0,0,0,15,Unknown
200,398,0,Female,45,Greater than 45,Caucasian,0,0,0,4,Unknown
201,402,0,Female,20,Less than 25,African-American,1,0,0,1,Unknown
202,404,0,Female,43,25 - 45,Caucasian,0,0,0,0,Unknown
203,407,0,Male,38,25 - 45,African-American,1,1,0,9,Middle
204,410,1,Male,32,25 - 45,African-American,0,0,0,11,High
205,412,0,Male,33,25 - 45,African-American,0,0,0,8,Middle
206,413,0,Male,55,Greater than 45,African-American,0,0,0,4,Unknown
207,415,0,Male,55,Greater than 45,African-American,0,0,0,4,Unknown
208,416,0,Female,31,25 - 45,African-American,0,0,0,0,Middle
209,418,0,Female,31,25 - 45,African-American,0,0,0,0,Middle
210,420,1,Female,33,25 - 45,African-American,0,0,0,7,Middle
211,422,0,Male,27,25 - 45,African-American,0,0,0,2,Middle
212,423,0,Male,27,25 - 45,African-American,0,0,0,2,Middle
213,424,0,Male,27,25 - 45,African-American,0,0,0,2,Middle
214,428,0,Female,26,25 - 45,Caucasian,0,0,0,0,Unknown
215,430,0,Female,61,Greater than 45,African-American,0,0,0,1,Middle
216,433,0,Male,52,Greater than 45,Other,0,0,0,13,Middle
217,436,0,Male,52,Greater than 45,Other,0,0,0,13,Middle
218,438,1,Male,52,Greater than 45,Other,0,0,0,13,Middle
219,439,1,Male,52,Greater than 45,Other,0,0,0,13,Middle
220,441,0,Male,52,Greater than 45,Other,0,0,0,13,Middle
221,442,0,Male,63,Greater than 45,Hispanic,0,0,0,1,Unknown
222,444,0,Female,32,25 - 45,African-American,0,0,0,4,High
223,446,0,Female,46,Greater than 45,Other,0,0,0,1,Unknown
224,448,0,Male,55,Greater than 45,African-American,0,0,0,3,Unknown
225,449,0,Male,39,25 - 45,Caucasian,1,0,0,1,Unknown
226,450,0,Female,30,25 - 45,Caucasian,0,0,0,3,High
227,454,0,Male,30,25 - 45,African-American,0,0,0,1,Unknown
228,456,0,Male,33,25 - 45,Caucasian,0,0,0,0,Unknown
229,459,1,Male,46,Greater than 45,Caucasian,0,0,0,6,Middle
230,462,1,Female,49,Greater than 45,Caucasian,0,0,0,6,Unknown
231,464,0,Male,31,25 - 45,Caucasian,0,0,0,0,Unknown
232,465,0,Male,31,25 - 45,African-American,0,0,0,0,Unknown
233,467,0,Male,25,25 - 45,African-American,0,0,0,1,Middle
234,468,0,Male,31,25 - 45,African-American,0,0,0,3,Unknown
235,470,0,Male,23,Less than 25,Hispanic,0,0,0,0,Unknown
236,472,0,Male,52,Greater than 45,Hispanic,0,0,0,2,Unknown
237,474,1,Male,62,Greater than 45,African-American,0,0,0,8,Unknown
238,475,0,Male,30,25 - 45,African-American,0,0,0,2,Unknown
239,476,0,Male,30,25 - 45,African-American,0,0,0,2,Unknown
240,480,1,Male,31,25 - 45,Hispanic,0,0,0,8,Middle
241,482,0,Male,31,25 - 45,Hispanic,0,0,0,8,Middle
242,485,0,Male,58,Greater than 45,Hispanic,0,0,0,0,Unknown
243,488,0,Male,56,Greater than 45,Caucasian,0,0,0,0,Unknown
244,490,0,Male,24,Less than 25,Other,0,0,0,0,Unknown
245,491,1,Male,38,25 - 45,African-American,2,2,1,22,Middle
246,493,1,Male,38,25 - 45,African-American,2,2,1,22,Middle
247,494,0,Male,39,25 - 45,African-American,0,0,0,3,Unknown
248,496,0,Male,22,Less than 25,African-American,0,0,0,1,Middle
249,498,0,Male,21,Less than 25,Hispanic,0,0,0,0,Unknown
250,500,0,Male,47,Greater than 45,African-American,0,0,0,23,High
251,501,1,Male,47,Greater than 45,African-American,0,0,0,23,High
252,502,0,Male,47,Greater than 45,African-American,0,0,0,23,High
253,506,0,Male,23,Less than 25,African-American,0,0,0,0,Middle
254,508,0,Female,38,25 - 45,Caucasian,0,0,0,2,Middle
255,511,0,Female,38,25 - 45,Caucasian,0,0,0,2,Middle
256,514,1,Male,45,Greater than 45,Caucasian,0,0,0,8,Middle
257,516,0,Female,28,25 - 45,Caucasian,0,0,0,0,Unknown
258,517,0,Male,45,Greater than 45,Other,0,0,0,2,Unknown
259,519,0,Male,32,25 - 45,African-American,0,0,0,13,High
260,520,1,Male,32,25 - 45,African-American,0,0,0,13,High
261,522,0,Male,39,25 - 45,Caucasian,0,0,0,0,Middle
262,524,0,Male,26,25 - 45,African-American,0,0,0,9,High
263,526,0,Male,25,25 - 45,African-American,0,0,0,3,Unknown
264,527,0,Male,45,Greater than 45,Caucasian,0,0,0,2,Unknown
265,528,1,Female,57,Greater than 45,Caucasian,0,0,0,7,Unknown
266,532,0,Male,34,25 - 45,African-American,0,0,0,2,High
267,534,0,Male,38,25 - 45,African-American,0,0,0,14,Unknown
268,537,0,Female,36,25 - 45,African-American,0,0,0,0,Unknown
269,540,0,Male,36,25 - 45,Other,0,0,0,2,High
270,542,0,Male,50,Greater than 45,Caucasian,0,0,0,1,Unknown
271,543,0,Female,37,25 - 45,Caucasian,0,0,0,0,Unknown
272,545,0,Female,35,25 - 45,African-American,0,1,0,23,High
273,546,0,Male,31,25 - 45,Caucasian,0,0,0,1,Unknown
274,548,0,Male,40,25 - 45,Asian,0,0,0,3,Unknown
275,550,0,Male,26,25 - 45,African-American,0,0,0,2,High
276,552,0,Male,26,25 - 45,African-American,0,0,0,2,High
277,553,0,Male,26,25 - 45,African-American,0,0,0,2,High
278,554,0,Male,26,25 - 45,African-American,0,0,0,2,High
279,558,0,Female,28,25 - 45,African-American,0,0,0,0,Unknown
280,560,0,Male,42,25 - 45,African-American,0,0,0,0,Unknown
281,563,1,Female,28,25 - 45,Caucasian,0,0,0,7,High
282,566,0,Male,38,25 - 45,African-American,0,0,0,2,Unknown
283,568,0,Male,27,25 - 45,Caucasian,0,0,0,2,Unknown
284,569,0,Female,28,25 - 45,African-American,0,0,0,1,Unknown
285,571,0,Male,21,Less than 25,African-American,1,0,0,1,Unknown
286,572,0,Male,21,Less than 25,African-American,1,0,0,1,Unknown
287,574,1,Male,56,Greater than 45,Caucasian,0,0,0,7,Middle
288,576,0,Male,28,25 - 45,African-American,0,0,0,2,Unknown
289,578,0,Male,45,Greater than 45,African-American,0,0,0,3,Unknown
290,579,0,Male,28,25 - 45,Hispanic,0,0,0,0,Unknown
291,580,0,Female,24,Less than 25,Other,0,0,0,1,Unknown
292,584,0,Male,20,Less than 25,Caucasian,0,0,1,0,Unknown
293,586,0,Male,36,25 - 45,Other,0,0,0,1,Middle
294,589,0,Male,37,25 - 45,Caucasian,0,0,0,4,Middle
295,592,0,Female,30,25 - 45,African-American,0,0,0,2,Unknown
296,594,1,Male,27,25 - 45,African-American,0,0,0,11,High
297,595,0,Male,37,25 - 45,African-American,0,0,0,0,Middle
298,597,1,Male,54,Greater than 45,African-American,0,0,0,11,Unknown
299,598,0,Male,23,Less than 25,African-American,0,0,0,2,Unknown
300,600,0,Male,68,Greater than 45,Caucasian,0,0,0,0,Unknown
301,602,0,Female,26,25 - 45,African-American,0,0,0,2,Middle
302,604,1,Female,23,Less than 25,African-American,0,2,0,3,Unknown
303,605,0,Female,32,25 - 45,African-American,0,0,0,0,Unknown
304,606,0,Male,41,25 - 45,African-American,0,0,0,0,Unknown
305,610,1,Male,43,25 - 45,Caucasian,0,0,0,13,High
306,612,0,Male,28,25 - 45,Caucasian,0,0,0,1,Unknown
307,615,0,Male,28,25 - 45,Caucasian,0,0,0,1,Unknown
308,618,0,Male,22,Less than 25,African-American,0,0,0,0,Unknown
309,620,0,Male,25,25 - 45,Hispanic,0,0,0,4,Unknown
310,621,0,Male,31,25 - 45,Caucasian,0,0,0,0,High
311,623,0,Male,37,25 - 45,Caucasian,0,0,0,0,Middle
312,624,0,Male,37,25 - 45,Caucasian,0,0,0,0,Middle
313,626,0,Male,32,25 - 45,African-American,0,1,0,14,Unknown
314,628,1,Male,26,25 - 45,African-American,0,1,0,4,Unknown
315,630,0,Male,53,Greater than 45,Caucasian,0,0,0,1,Unknown
316,631,0,Male,28,25 - 45,African-American,0,0,0,25,High
317,632,0,Male,28,25 - 45,African-American,0,0,0,25,High
318,636,0,Male,44,25 - 45,Caucasian,0,0,0,8,Middle
319,638,1,Male,44,25 - 45,Caucasian,0,0,0,8,Middle
320,641,0,Male,22,Less than 25,Caucasian,0,0,1,1,High
321,644,0,Female,20,Less than 25,African-American,0,0,0,0,Unknown
322,646,0,Female,33,25 - 45,Caucasian,0,0,0,0,Unknown
323,647,0,Female,47,Greater than 45,Caucasian,0,0,0,2,Unknown
324,649,0,Male,24,Less than 25,Other,0,0,0,0,Unknown
325,650,1,Male,36,25 - 45,Caucasian,0,0,0,8,Middle
326,652,0,Male,22,Less than 25,African-American,0,0,0,3,Middle
327,654,0,Female,24,Less than 25,Caucasian,0,0,0,1,Middle
328,656,0,Male,27,25 - 45,African-American,0,0,0,3,High
329,657,0,Female,31,25 - 45,Hispanic,0,0,0,0,Unknown
330,658,0,Male,47,Greater than 45,African-American,0,0,0,0,Unknown
331,662,0,Female,23,Less than 25,Caucasian,0,0,4,5,Middle
332,664,0,Male,29,25 - 45,African-American,0,0,0,1,Unknown
333,667,0,Male,30,25 - 45,African-American,0,0,0,2,High
334,670,0,Male,38,25 - 45,African-American,0,0,0,1,Unknown
335,672,0,Male,39,25 - 45,Other,0,0,0,0,Unknown
336,673,0,Male,27,25 - 45,African-American,0,0,0,4,Unknown
337,675,0,Male,18,Less than 25,African-American,2,0,0,2,Unknown
338,676,0,Male,18,Less than 25,African-American,2,0,0,2,Unknown
339,678,0,Male,31,25 - 45,Caucasian,0,0,0,2,High
340,680,0,Female,37,25 - 45,African-American,0,0,0,2,Unknown
341,682,0,Male,31,25 - 45,Caucasian,0,0,0,0,Unknown
342,683,0,Male,27,25 - 45,African-American,0,0,0,2,Unknown
343,684,0,Male,20,Less than 25,African-American,0,0,0,0,Unknown
344,688,0,Female,52,Greater than 45,African-American,0,0,0,0,Unknown
345,690,0,Male,20,Less than 25,African-American,1,0,0,1,Unknown
346,693,1,Male,66,Greater than 45,African-American,0,0,0,8,Middle
347,696,0,Male,27,25 - 45,Caucasian,0,0,0,0,High
348,698,0,Male,30,25 - 45,African-American,0,0,0,11,Middle
349,699,0,Male,22,Less than 25,African-American,0,1,1,3,Middle
350,701,1,Male,22,Less than 25,African-American,0,1,1,3,Middle
351,702,1,Male,22,Less than 25,African-American,0,1,1,3,Middle
352,704,1,Male,22,Less than 25,African-American,0,1,1,3,Middle
353,706,0,Female,22,Less than 25,Caucasian,0,0,0,1,Unknown
354,708,0,Male,32,25 - 45,Caucasian,0,0,0,2,Unknown
355,709,0,Female,41,25 - 45,African-American,0,0,0,2,Unknown
356,710,0,Male,35,25 - 45,Caucasian,0,0,0,9,Unknown
357,714,1,Male,44,25 - 45,African-American,0,0,0,24,Unknown
358,716,0,Male,52,Greater than 45,African-American,0,0,0,3,High
359,719,0,Female,24,Less than 25,Caucasian,0,0,0,0,Unknown
360,722,0,Male,23,Less than 25,African-American,0,0,0,2,Unknown
361,724,0,Male,28,25 - 45,African-American,0,0,0,3,High
362,725,0,Male,70,Greater than 45,Caucasian,0,0,0,1,Unknown
363,727,0,Male,54,Greater than 45,Caucasian,0,0,0,6,High
364,728,1,Male,58,Greater than 45,Caucasian,0,0,0,9,Unknown
365,730,0,Male,21,Less than 25,African-American,0,0,0,0,Middle
366,732,0,Male,26,25 - 45,African-American,0,0,0,1,High
367,734,0,Male,38,25 - 45,Hispanic,0,0,0,3,High
368,735,0,Male,34,25 - 45,Caucasian,0,0,0,5,Unknown
369,736,0,Female,34,25 - 45,Caucasian,0,0,0,0,Unknown
370,740,1,Male,34,25 - 45,African-American,0,0,0,5,Unknown
371,742,0,Male,23,Less than 25,Caucasian,0,0,0,0,Middle
372,745,1,Male,34,25 - 45,African-American,0,0,0,5,Middle
373,748,0,Male,30,25 - 45,African-American,0,0,0,2,Unknown
374,750,0,Male,39,25 - 45,African-American,0,0,0,6,Middle
375,751,0,Male,39,25 - 45,African-American,0,0,0,6,Middle
376,753,0,Male,39,25 - 45,African-American,0,0,0,6,Middle
377,754,0,Male,24,Less than 25,Other,0,0,0,0,Unknown
378,756,0,Male,33,25 - 45,Caucasian,0,0,0,0,Unknown
379,758,0,Male,58,Greater than 45,Caucasian,0,0,0,2,Unknown
380,760,0,Male,44,25 - 45,Asian,0,0,0,2,Unknown
381,761,1,Male,56,Greater than 45,African-American,0,0,0,13,Unknown
382,762,0,Male,27,25 - 45,Caucasian,0,0,0,1,Unknown
383,766,1,Male,23,Less than 25,African-American,0,0,1,4,Middle
384,768,1,Male,23,Less than 25,African-American,0,0,1,4,Middle
385,771,0,Male,62,Greater than 45,Caucasian,0,0,0,0,Unknown
386,774,1,Male,27,25 - 45,African-American,1,0,1,4,High
387,776,0,Male,27,25 - 45,African-American,1,0,1,4,High
388,777,1,Male,57,Greater than 45,Other,0,0,0,6,Unknown
389,779,0,Male,43,25 - 45,Other,0,0,0,2,High
390,780,0,Male,22,Less than 25,Caucasian,0,0,0,0,Unknown
391,782,0,Female,33,25 - 45,African-American,0,0,0,2,Unknown
392,784,0,Male,23,Less than 25,Hispanic,0,0,0,0,Unknown
393,786,0,Male,27,25 - 45,African-American,0,0,0,0,Unknown
394,787,0,Male,44,25 - 45,Caucasian,0,0,0,0,High
395,788,0,Male,44,25 - 45,Caucasian,0,0,0,0,High
396,792,0,Female,42,25 - 45,Caucasian,0,0,0,0,Unknown
397,794,0,Male,48,Greater than 45,African-American,0,0,0,5,Unknown
398,797,0,Male,20,Less than 25,African-American,0,0,0,0,Middle
399,800,0,Male,39,25 - 45,African-American,0,0,0,0,Unknown
400,802,0,Male,24,Less than 25,African-American,0,0,0,1,Unknown
401,803,0,Male,24,Less than 25,African-American,0,0,0,1,Unknown
402,805,0,Male,22,Less than 25,African-American,0,1,0,2,Unknown
403,806,0,Male,22,Less than 25,African-American,0,1,0,2,Unknown
404,808,0,Male,56,Greater than 45,Caucasian,0,0,0,0,Unknown
405,810,0,Male,54,Greater than 45,African-American,0,0,0,1,Unknown
406,812,1,Male,29,25 - 45,African-American,0,0,0,7,Unknown
407,813,0,Male,42,25 - 45,Caucasian,0,0,0,0,Unknown
